SAMPN,VEHNO,YEAR,MAKE,MKOTH,MODEL,TYPE,TYPEO,VHOWN,VHONO,REGION,DVRPC
1003459,1,1998,30,,BONNEVILLE,1,,2,,1,1
1003459,2,1998,30,,BONNEVILLE,1,,2,,1,1
1003480,1,1997,4,,LESABRE,1,,1,,1,1
1003565,1,1995,6,,BLAZER,4,,1,,1,1
1003758,1,1985,6,,IMPALA,1,,1,,1,1
1003779,1,1986,8,,600,1,,1,,1,1
1003873,1,1993,9,,TEMPO,1,,1,,1,1
1003881,1,1995,37,,CAMRY,1,,1,,1,1
1003881,2,1995,28,,SIERRA,1,,1,,1,1
1003889,1,1994,9,,CROWN VICTORIA,1,,1,,1,1
1003912,1,1991,27,,SENTRA,1,,1,,1,1
1003933,1,1998,6,,MALIBU,1,,1,,1,1
1003933,2,1995,6,,LUMINA,1,,1,,1,1
1003973,1,1993,8,,INTREPID,1,,1,,1,1
1003985,1,1995,37,,COROLLA,1,,1,,1,1
1003985,2,1997,13,,CIVIC,2,,1,,1,1
1003990,1,1984,6,,ASTRO,3,,1,,1,1
1004188,1,1998,22,,DON'T KNOW,1,,1,,1,1
1004264,1,1996,24,,GRAND MARQUIS,1,,1,,1,1
1004333,1,1992,4,,LESABRE,1,,1,,1,1
1004340,1,1995,16,,RODEO,4,,1,,1,1
1004340,2,1996,37,,CAMRY,1,,1,,1,1
1004430,1,1994,6,,LUMINA,1,,1,,1,1
1004441,1,8888,9,,MUSTANG LX,2,,1,,1,1
1004441,2,8888,9,,GRAND MARQUIS,1,,2,,1,1
1004441,3,8888,9,,DON'T KNOW,3,,2,,1,1
1004469,1,1993,30,,BONNEVILLE,1,,1,,1,1
1004469,2,1998,34,,SC2,1,,1,,1,1
1004717,1,1989,13,,ACCORD,1,,1,,1,1
1004717,2,1987,38,,GOLF,1,,1,,1,1
1004723,1,1998,6,,CAVALIER,1,,1,,1,1
1004723,2,1992,6,,LUMINA,1,,1,,1,1
1004723,3,1983,37,,TERCEL,1,,1,,1,1
1004727,1,1999,7,,TOWN & COUNTRY,1,,1,,1,1
1004727,2,1990,13,,ACCORD,1,,1,,1,1
1004742,1,1997,4,,CENTURY,1,,1,,1,1
1004742,2,1989,13,,ACCORD,1,,1,,1,1
1004743,1,1989,37,,TERCEL,1,,1,,1,1
1004751,1,1992,28,,ROYAL,1,,1,,1,1
1004751,2,1997,6,,LUMINA,1,,1,,1,1
1004751,3,1991,6,,CAVALIER,1,,1,,1,1
1004751,4,1997,9,,ESCORT,1,,1,,1,1
1004754,1,2000,4,,LESABRE,1,,1,,1,1
1004775,1,1988,4,,CENTURY,1,,1,,1,1
1004775,2,1995,6,,SILVERADO,7,,1,,1,1
1004782,1,1987,9,,TEMPO,1,,1,,1,1
1004782,2,1994,6,,S 10,7,,1,,1,1
1004782,3,1996,18,,CHEROKEE,4,,1,,1,1
1004786,1,1999,9,,F 150,7,,2,,1,1
1004786,2,1988,7,,LEBARON,1,,1,,1,1
1004793,1,1992,8,,SPIRIT,1,,1,,1,1
1004796,1,1987,9,,E 150,3,,1,,1,1
1004796,2,1988,9,,TEMPLE,1,,1,,1,1
1004796,3,1992,9,,TAURUS,6,,1,,1,1
1004812,1,1993,13,,CIVIC,1,,1,,1,1
1004812,2,1995,7,,LEBARON,1,,1,,1,1
1005220,1,1994,3,,K75,8,,1,,1,1
1005220,2,1996,8,,1500,7,,1,,1,1
1005220,3,1998,8,,CARAVAN,3,,1,,1,1
1005235,1,1991,28,,SIERRA,1,,1,,1,1
1005236,1,1994,4,,ROADMASTER,6,,1,,1,1
1005236,2,1990,4,,LESABRE,1,,1,,1,1
1005236,3,1997,6,,BLAZER,4,,1,,1,1
1005246,1,1997,35,,LEGACY,1,,1,,1,1
1005250,1,1997,30,,GRAND PRIX,1,,1,,1,1
1005250,2,1997,28,,DON'T KNOW,1,,1,,1,1
1005257,1,1997,13,,CRV,4,,1,,1,1
1005257,2,1992,1,,INTEGRA,2,,1,,1,1
1005258,1,1997,29,,VOYAGER,3,,1,,1,1
1005258,2,1996,29,,NEON,1,,1,,1,1
1005258,3,1966,6,,CORVAIR,1,,1,,1,1
1005276,1,1985,9,,ECONOLINE,3,,1,,1,1
