SAMPN,VEHNO,YEAR,MAKE,MKOTH,MODEL,TYPE,TYPEO,VHOWN,VHONO,REGION,DVRPC
1032633,1,1994,4,,CENTURY,1,,1,,2,1
1032635,1,1980,6,,MALIBU,1,,1,,2,1
1032635,2,1989,4,,ELECTRA,6,,1,,2,1
1032672,1,1986,7,,LEBARON,2,,1,,2,1
1032672,2,2000,8,,CARAVAN,3,,1,,2,1
1032676,1,1997,6,,LUMINA,1,,1,,2,1
1032714,1,1990,28,,SIERRA,1,,1,,2,1
1032737,1,2000,4,,CENTURY,1,,1,,2,1
1032740,1,1991,34,,4 DOOR,1,,1,,2,1
1032740,2,1993,1,,SEDAN,1,,1,,2,1
1032740,3,1991,99,,DON'T KNOW,99,,8,,2,1
1032770,1,2000,14,,SONATA,1,,1,,2,1
1032793,1,2000,26,,GALANT,1,,1,,1,1
1032860,1,1991,13,,ACCORD EX,1,,1,,2,1
1032860,2,1994,23,,V 3000,7,,1,,2,1
1032860,3,1996,23,,626,1,,1,,2,1
1032866,1,1998,37,,AVALON,1,,1,,2,1
1032866,2,1999,38,,PASSAT,1,,1,,2,1
1032881,1,1993,37,,CAMRY,1,,1,,2,1
1032881,2,1994,37,,PICK UP,7,,1,,2,1
1032902,1,1995,18,,GRAND CHEROKEE,4,,1,,2,1
1032902,2,1998,27,,PATHFINDER,4,,1,,2,1
1032902,3,1992,18,,WRANGLER,4,,1,,2,1
1032902,4,1992,9,,F 150,7,,1,,2,1
1032904,1,1990,27,,MAXIMA,1,,1,,2,1
1032904,2,1992,27,,MAXIMA,1,,1,,2,1
1032904,3,1999,37,,4 RUNNER,4,,1,,2,1
1032924,1,2000,39,,S 80,1,,1,,2,1
1032924,2,1994,24,,SABLE,6,,1,,2,1
1032971,1,1996,9,,TAURUS,6,,2,,2,1
1032971,2,1997,8,,CARAVAN,3,,1,,2,1
1032975,1,1998,9,,WINDSTAR,3,,1,,2,1
1032975,2,1996,15,,Q 30,1,,1,,2,1
1032976,1,1994,28,,LOREAL,1,,1,,2,1
1032976,2,1998,6,,VAN,3,,1,,2,1
1032986,1,1991,9,,TEMPO,1,,1,,2,1
1032986,2,1995,28,,CUTLASS,1,,1,,2,1
1033004,1,1999,8,,RAM 1500,5,,1,,2,1
1033004,2,2000,8,,DURANGO,4,,1,,2,1
1033030,1,1984,37,,COROLLA,1,,1,,1,1
1033030,2,1995,35,,LEGACY,6,,1,,1,1
1033041,1,1984,4,,ELECTRA,2,,1,,1,1
1033284,1,1968,9,,MUSTANG,1,,1,,1,1
1033284,2,1983,7,,LEBARON,1,,1,,1,1
1033284,3,1990,9,,TAURUS,1,,1,,1,1
1033284,4,1987,7,,NEW YORKER,1,,1,,1,1
1033284,5,2000,9,,CONTOUR,1,,1,,1,1
1033284,6,1987,6,,CAVALIER,1,,1,,1,1
1033295,1,1997,29,,MINI VAN,3,,1,,1,1
1033295,2,1998,8,,NEON,1,,1,,1,1
1033302,1,1997,30,,GRAND AM,2,,1,,2,1
1033307,1,1993,21,,ES 300,1,,1,,2,1
1033319,1,1981,38,,VAN,3,,1,,2,1
1033322,1,1996,13,,ODYSSEY,3,,1,,2,1
1033322,2,1998,9,,ESCORT,2,,1,,2,1
1033322,3,1991,35,,LEGACY,2,,1,,2,1
1033322,4,1991,35,,LEGACY,1,,1,,2,1
1033330,1,1999,37,,CAMRY,1,,1,,2,1
1033330,2,1990,13,,ACCORD,1,,1,,2,1
1033330,3,1988,13,,ACCORD,1,,1,,2,1
1033330,4,1989,13,,ACCORD,1,,1,,2,1
1033330,5,1993,10,,STORM,1,,1,,2,1
1033330,6,1994,4,,LESABRE,1,,1,,2,1
1033332,1,1994,9,,ESCORT,1,,1,,2,1
1033332,2,1997,9,,THUNDERBIRD,1,,1,,2,1
1033335,1,1990,9,,TOWN CAR,7,,1,,2,1
1033335,2,1986,30,,TRANS AM,2,,1,,2,1
1033335,3,1970,8,,PICK UP,7,,1,,2,1
1033337,1,1997,18,,WRANGLER,4,,1,,2,1
1033337,2,1996,37,,4 RUNNER,4,,1,,2,1
1033337,3,1996,21,,LS,1,,1,,2,1
1033344,1,1982,29,,VOYAGER,3,,1,,2,1
1033344,2,1992,8,,CARAVAN,3,,1,,2,1
1033355,1,1993,3,,325 I,1,,1,,2,1
1033355,2,1995,38,,JETTA,1,,1,,2,1
1033355,3,2001,13,,ODYSSEY,3,,1,,2,1
1033367,1,1998,30,,GRAND PRIX,1,,1,,2,1
1033367,2,1994,30,,GRAND PRIX,2,,1,,2,1
1033367,3,1989,4,,LESABRE,2,,1,,2,1
1033367,4,1971,6,,CORVETTE,2,,1,,2,1
1033381,1,1994,34,,SL2,1,,1,,2,1
1033381,2,1996,29,,CARAVAN,3,,1,,2,1
1033381,3,1993,34,,SL4,2,,9,,2,1
1033396,1,1990,8,,CARAVAN,3,,1,,2,1
1033396,2,1993,13,,DEL SOL,2,,1,,2,1
1033396,3,1997,13,,CRV,4,,1,,2,1
1033397,1,1999,11,,SUBURBAN,3,,1,,2,1
1033397,2,1999,30,,GRAND AM,1,,1,,2,1
1033406,1,1998,9,,PICK UP,7,,1,,2,1
1033406,2,1990,9,,TAURUS,1,,1,,2,1
1033406,3,1984,37,,FOUR RUNNER,4,,1,,2,1
1033433,1,1997,30,,BONNEVILLE,1,,1,,2,1
1033433,2,1993,37,,PASEO,2,,1,,2,1
1033488,1,1988,38,,JETTA,1,,1,,2,1
1033488,2,1999,38,,PASSAT,1,,1,,2,1
1033564,1,1999,9,,F 150,7,,1,,1,1
1033580,1,1989,9,,TAURUS,6,,1,,1,1
1033580,2,1994,6,,CAVALIER,1,,1,,1,1
1033580,3,1972,3,,MOTORCYCLE,8,,1,,1,1
1033868,1,1993,6,,LUMINA,1,,1,,1,1
1033871,1,1990,13,,ACCORD,1,,1,,1,1
1033871,2,1994,9,,PICK UP,7,,1,,1,1
1034112,1,1993,9,,TAURUS,1,,1,,1,1
1034112,2,1989,9,,ECONOLINE,3,,1,,1,1
1034119,1,1995,8,,NEON,1,,1,,1,1
1034119,2,1998,6,,BLAZER,4,,1,,1,1
1034127,1,2000,8,,NEON,1,,1,,1,1
1034167,1,1996,9,,AEROSTAR,3,,1,,1,1
1034167,2,1997,9,,F 150,7,,1,,1,1
1034400,1,2000,20,,SEPHIA,1,,1,,1,1
1034402,1,1996,9,,WINDSTAR,3,,1,,1,1
1034402,2,1987,6,,SUBURBAN,3,,1,,1,1
1034407,1,1985,37,,CAMRY,1,,1,,1,1
1034407,2,1996,98,,NEON MAXIMA,1,,1,,1,1
1034466,1,1990,8,,CARAVAN,3,,1,,2,1
1034466,2,1995,37,,CAMRY,1,,1,,2,1
1034466,3,1998,13,,CRV,4,,1,,2,1
1034483,1,1984,4,,LESABRE,1,,1,,2,1
1034483,2,1987,9,,F 150,7,,1,,2,1
1034700,1,1988,9,,F 250,7,,1,,2,1
1034749,1,1994,29,,SUNDANCE,2,,1,,2,1
1034785,1,1992,5,,EL DORADO,4,,1,,2,1
1034785,2,1984,37,,COROLLA,1,,1,,2,1
1034802,1,1990,9,,CROWN VICTORIA,1,,1,,2,1
1034802,2,1986,8,,RAM,7,,1,,2,1
1034802,3,1985,9,,ECONOLINE,3,,1,,2,1
1034839,1,1996,29,,NEON,1,,1,,2,1
1034857,1,1991,7,,PLYMOUTH,1,,1,,1,1
1034857,2,1997,21,,DON'T KNOW,1,,1,,1,1
1034895,1,1991,8,,DYNASTY,1,,1,,1,1
1034955,1,1997,29,,VOYAGER,3,,1,,1,1
1034955,2,1994,9,,RANGER,7,,1,,1,1
1034977,1,1997,9,,TAURUS,1,,1,,1,1
1034999,1,1985,37,,CAMRY,1,,1,,1,1
1035398,1,1991,28,,CUTLASS,1,,1,,2,1
1035398,2,1997,6,,MALIBU,1,,1,,2,1
1035445,1,1993,4,,REGAL,1,,1,,2,1
1035526,1,1996,6,,CORSICA,1,,1,,2,1
1035530,1,1992,34,,SL,1,,1,,2,1
1035530,2,1983,30,,GRAND PRIX,1,,1,,2,1
1035540,1,1992,11,,VAN,3,,1,,2,1
1035540,2,1988,6,,CORSICA,1,,1,,2,1
1035540,3,1985,39,,760 TURBO,1,,1,,2,1
1035717,1,1992,30,,GRAND AM,1,,1,,1,1
1035717,2,1994,8,,CARAVAN,1,,1,,1,1
1035722,1,1993,29,,VOYAGER,3,,1,,1,1
1035926,1,1994,30,,GRAND PRIX,2,,1,,2,1
1035963,1,1995,11,,ASTRO,3,,1,,2,1
1035963,2,1996,10,,TRACKER,4,,1,,2,1
1035963,3,2000,9,,CLASSIC RV,5,,1,,2,1
1035965,1,1996,13,,CIVIC,2,,1,,2,1
1035965,2,1998,18,,WRANGLER,4,,1,,2,1
1035965,3,1999,35,,FORESTER,4,,1,,2,1
1035971,1,2000,28,,INTRIGUE,1,,1,,2,1
1036011,1,1998,8,,CARAVAN,3,,1,,2,1
1036011,2,1995,8,,NEON,1,,1,,2,1
1036014,1,1991,9,,TAURUS,1,,1,,2,1
1036036,1,1995,9,,CONTOUR,1,,1,,1,1
1036036,2,1999,9,,WINDSTAR,3,,2,,1,1
1036085,1,1988,6,,SUBURBAN,3,,1,,2,1
1036085,2,1997,9,,EXPLORER,1,,1,,2,1
1036219,1,1995,37,,CAMRY,1,,1,,1,1
1036237,1,1999,13,,CIVIC,1,,1,,1,1
1036237,2,1995,8,,NEON,1,,1,,1,1
1036245,1,1990,37,,CAMRY,1,,1,,1,1
1036306,1,1998,22,,TOWN CAR,1,,1,,1,1
1036335,1,1983,4,,SKYLARK,1,,1,,1,1
1036339,1,1998,5,,DEVILLE,1,,1,,1,1
1036339,2,1997,9,,CONTOUR,1,,1,,1,1
1036372,1,1988,9,,MERCURY,1,,1,,1,1
1036392,1,1985,27,,SENTRA,2,,1,,1,1
1036392,2,1988,30,,SUNBIRD,1,,1,,1,1
1036415,1,1997,9,,F 150,7,,1,,1,1
1036415,2,1989,9,,THUNDERBIRD,2,,1,,1,1
1036422,1,1989,14,,EXCEL,1,,1,,1,1
1036438,1,1992,6,,CORSICA,1,,1,,2,1
1036438,2,1988,24,,MARQUIS,1,,1,,2,1
1036438,3,1996,8,,PICK UP,7,,2,,2,1
1036479,1,1999,11,,METRO,1,,1,,2,1
1036497,1,1996,9,,TAURUS,1,,1,,2,1
1036499,1,1992,23,,626,1,,1,,2,1
1036499,2,1990,29,,ACCLAIM,1,,1,,2,1
1036502,1,1996,6,,CONVERSION VAN,3,,1,,2,1
1036502,2,1997,6,,CAVALIER,1,,1,,2,1
1036520,1,1999,30,,GRAND AM,1,,1,,2,1
1036531,1,1993,26,,MIGHTY MAX,7,,1,,2,1
1036531,2,1991,26,,GALANT,1,,1,,2,1
1036531,3,1989,26,,MIGHTY MAX,7,,1,,2,1
1036533,1,1991,9,,AEROSTAR,3,,1,,2,1
1036533,2,1985,9,,THUNDERBIRD,1,,1,,2,1
1036576,1,1998,6,,CENTURY,1,,1,,2,1
1036626,1,1999,9,,EXPEDITION,4,,1,,2,1
1036626,2,1995,11,,PICK UP,7,,1,,2,1
1036626,3,1991,34,,SL,1,,1,,2,1
1036626,4,1987,4,,GRAND NATIONAL,1,,1,,2,1
1037233,1,1989,9,,VOYAGER,1,,1,,1,1
1037286,1,1990,9,,THUNDERBIRD,2,,1,,1,1
1037286,2,1984,6,,CELEBRITY,1,,1,,1,1
1037286,3,1984,6,,BLAZER,2,,1,,1,1
1037286,4,1979,9,,PICK UP,2,,1,,1,1
1037286,5,1975,6,,CORVETTE,2,,1,,1,1
1037286,6,8888,98,,PICK UP,7,,1,,1,1
1037304,1,1992,37,,COROLLA,1,,1,,1,1
1037686,1,1999,24,,GRAND MARQUIS,1,,1,,1,1
1037686,2,1999,24,,MOUNTAINEER,4,,1,,1,1
1037737,1,1996,6,,CAVALIER,1,,1,,1,1
1037753,1,1986,4,,CENTURY,1,,1,,1,1
1037753,2,1990,27,,ALTIMA,1,,1,,1,1
1037754,1,1998,9,,ESCORT,2,,1,,1,1
1037755,1,2000,27,,MAXIMA,1,,1,,1,1
1037764,1,1993,9,,TAURUS,1,,1,,2,1
1037769,1,1987,37,,CAMRY,1,,1,,2,1
1037769,2,1996,27,,QUEST,3,,1,,2,1
1037826,1,1989,6,,BERETTA,3,,1,,2,1
1037826,2,1997,28,,ACHIEVA,1,,1,,2,1
1037836,1,1966,8,,CORONET,1,,1,,2,1
1037836,2,1988,9,,CROWN VICTORIA,1,,1,,2,1
1037853,1,1995,37,,CAMRY,1,,1,,2,1
1037896,1,2000,24,,GRAND MARQUIS,1,,1,,1,1
1037910,1,1993,9,,F 150,7,,1,,1,1
1037910,2,1997,8,,GRAND CARAVAN,3,,1,,1,1
1037913,1,1986,9,,ECONOLINE,3,,1,,1,1
1037913,2,1988,9,,TEMPO,1,,1,,1,1
1037913,3,2000,25,,230,1,,1,,1,1
1037926,1,1996,34,,DON'T KNOW,1,,1,,1,1
1037926,2,2000,4,,PARK AVENUE,1,,1,,1,1
1037928,1,1998,8,,GRAND CARAVAN,3,,1,,1,1
1037934,1,1995,13,,CIVIC,1,,1,,1,1
1037968,1,1989,1,,INTEGRA,1,,1,,1,1
1037968,2,1988,28,,CUTLASS,1,,1,,1,1
1037968,3,1993,8,,CARAVAN,3,,1,,1,1
1038007,1,1985,4,,CELEBRITY,1,,1,,1,1
1038007,2,1986,30,,BONNEVILLE,1,,1,,1,1
1038013,1,1998,9,,TAURUS,1,,1,,1,1
1038013,2,1990,24,,SABLE,1,,1,,1,1
1038017,1,1989,16,,TROOPER,4,,1,,1,1
1038017,2,2000,8,,DAKOTA,7,,1,,1,1
1038206,1,1998,6,,BLAZER,4,,1,,1,1
1038206,2,1992,8,,DAKOTA,7,,1,,1,1
1038206,3,1995,26,,GALANT,1,,1,,1,1
1038206,4,1993,34,,SL,1,,1,,1,1
1038231,1,1992,6,,CORSICA,1,,8,,1,1
1038247,1,1988,9,,TAURUS,1,,1,,1,1
1038286,1,1990,24,,SABLE,1,,1,,1,1
1038286,2,1997,10,,PRIZM,1,,1,,1,1
1038286,3,1996,7,,LEBARON,1,,1,,1,1
1038311,1,2000,18,,CHEROKEE,4,,1,,1,1
1038311,2,1991,3,,318 IS,1,,1,,1,1
1038335,1,1992,37,,CELICA,1,,1,,2,1
1038335,2,1990,13,,WAGON,1,,1,,2,1
1038341,1,1995,30,,FIREBIRD,1,,1,,2,1
1038341,2,1993,6,,C 20,3,,1,,2,1
1038341,3,1993,10,,TRACKER,4,,1,,2,1
1038362,1,2000,9,,EXPLORER,4,,2,,2,1
1038362,2,2000,9,,WINDSTAR,3,,1,,2,1
1038364,1,1984,3,,528 E,1,,1,,2,1
1038364,2,1989,13,,ACCORD,1,,1,,2,1
1038446,1,1991,6,,CORSICA,7,,1,,1,1
1038446,2,1999,30,,BONNEVILLE,1,,1,,1,1
1038479,1,1995,9,,THUNDERBIRD,1,,1,,2,1
1038479,2,1996,27,,MAXIMA,1,,1,,2,1
1038546,1,1989,22,,MARK VII,1,,1,,2,1
1038546,2,1997,23,,626,1,,1,,2,1
1038546,3,1985,9,,F 150,7,,1,,2,1
1038548,1,1978,8,,ASPEN,1,,1,,2,1
1038548,2,1987,29,,VOYAGER,3,,1,,2,1
1038586,1,1992,9,,ESCORT,1,,1,,2,1
1038588,1,1986,27,,DON'T KNOW,1,,1,,2,1
1038626,1,8888,9,,DON'T KNOW,1,,1,,2,1
1038626,2,8888,1,,DON'T KNOW,6,,1,,2,1
1038626,3,8888,2,,DON'T KNOW,1,,1,,2,1
1038633,1,1987,6,,BLAZER,4,,1,,2,1
1038633,2,1989,38,,JETTA,1,,1,,2,1
1038633,3,1989,38,,JETTA,4,,1,,2,1
1038683,1,2000,9,,FOCUS,1,,1,,2,1
1038683,2,1985,28,,CUTLASS,1,,1,,2,1
1038683,3,8888,99,,DON'T KNOW,5,,9,,2,1
1038685,1,1998,13,,ACCORD,1,,1,,2,1
1038694,1,1985,6,,CAPRICE,1,,1,,2,1
1038694,2,1988,24,,GRAND MARQUIS,1,,1,,2,1
1038705,1,1998,9,,WINDSTAR,3,,1,,2,1
1038705,2,1998,9,,EXPLORER,4,,1,,2,1
1038705,3,1984,37,,CELICA,1,,1,,2,1
1038722,1,1992,8,,CARAVAN,3,,1,,2,1
1038722,2,1997,6,,MALIBU,1,,1,,2,1
1038740,1,1996,37,,COROLLA,1,,1,,2,1
1038761,1,1990,9,,ESCORT,1,,1,,1,1
1038761,2,1992,9,,TAURUS,1,,1,,1,1
1038761,3,1978,9,,PICK UP,7,,1,,1,1
1038761,4,8888,11,,VAN,3,,2,,1,1
1038792,1,1995,8,,DON'T KNOW,2,,1,,2,1
1038824,1,1984,37,,CAMRY,1,,1,,2,1
1038829,1,1994,33,,CONVERTABLE,1,,1,,2,1
1038832,1,1996,39,,850 WAGON,1,,1,,2,1
1038832,2,1990,25,,250,1,,1,,2,1
1038836,1,2000,21,,300 RX,4,,1,,2,1
1038836,2,1994,3,,540,1,,1,,2,1
1038853,1,1986,37,,TERCEL,1,,1,,2,1
1038864,1,1994,4,,CENTURY,6,,1,,2,1
1038867,1,1994,39,,STATION,1,,1,,2,1
1038867,2,1998,38,,JETTA,1,,1,,2,1
1038883,1,1997,27,,ALTIMA,1,,1,,1,1
1038934,1,1990,10,,PRIZM,1,,1,,1,1
1038934,2,1999,27,,QUEST,1,,1,,1,1
1038996,1,1984,9,,TEMPO,1,,1,,2,1
1038996,2,1993,8,,CARAVAN,3,,1,,2,1
1038996,3,1996,30,,SUNFIRE,1,,1,,2,1
1038996,4,1999,14,,ELANTRA,1,,1,,2,1
1039130,1,1995,27,,SENTRA,1,,1,,2,1
1039130,2,1997,27,,ALTIMA,1,,1,,2,1
1039132,1,1978,28,,DELTA 88,1,,1,,2,1
1039132,2,1987,6,,BLAZER,4,,1,,2,1
1039132,3,1999,13,,CIVIC,1,,1,,2,1
1039171,1,1993,7,,CARAVAN,3,,1,,2,1
1039171,2,1997,29,,BREEZE,1,,1,,2,1
1039177,1,1991,4,,LESABRE,1,,1,,2,1
1039177,2,1992,9,,EXPLORER,1,,1,,2,1
1039177,3,8888,98,,DON'T KNOW,99,,8,,2,1
1039217,1,1994,6,,CORSICA,1,,1,,2,1
1039223,1,1989,39,,740 GL,6,,1,,2,1
1039223,2,1999,37,,TACOMA,7,,1,,2,1
1039248,1,1988,24,,GRAND MARQUIS,1,,1,,2,1
1039248,2,1989,6,,CORSICA,1,,1,,2,1
1039248,3,1990,9,,ESCORT,1,,1,,2,1
1039255,1,1992,37,,CAMRY,1,,1,,2,1
1039259,1,2000,9,,RANGER,7,,2,,2,1
1039273,1,1998,9,,CROWN VICTORIA,1,,1,,1,1
1039273,2,1999,9,,TAURUS,1,,1,,1,1
1039328,1,1985,6,,DON'T KNOW,1,,1,,1,1
1039349,1,1997,9,,AEROSTAR,3,,1,,1,1
1039349,2,1990,7,,DON'T KNOW,1,,1,,1,1
1039624,1,1997,35,,OUTBACK,6,,1,,1,1
1039624,2,1985,25,,STATION WAGON,6,,1,,1,1
1039664,1,1986,97,AMERICAN MOTORS,JEEP,4,,1,,2,1
1039664,2,1992,6,,TAURUS,1,,1,,2,1
1039671,1,1995,13,,ACCORD,1,,1,,2,1
1039680,1,1990,2,,DON'T KNOW,1,,1,,2,1
1039680,2,1987,9,,BRONCO,4,,1,,2,1
1039713,1,1994,4,,REGAL,1,,1,,2,1
1039713,2,1981,37,,TERCEL,2,,1,,2,1
1039722,1,1986,9,,F 250,7,,1,,2,1
1039722,2,8888,9,,TAURUS,1,,1,,2,1
1039722,3,8888,8,,PICK UP,7,,1,,2,1
1040033,1,1994,13,,ACCORD,1,,1,,1,1
1040033,2,1994,33,,900,2,,1,,1,1
1040033,3,1992,13,,ACCORD,1,,1,,1,1
1040034,1,2000,5,,DTS,1,,2,,1,1
1040034,2,1997,6,,SUBURBAN,4,,1,,1,1
1040034,3,1999,28,,ALERO,1,,1,,1,1
1040034,4,1988,28,,TORNADO,1,,1,,1,1
1040034,5,1967,6,,C 10 .5 TON PICK UP,7,,1,,1,1
1040034,6,1964,30,,GRAND PRIX,1,,1,,1,1
1040040,1,1992,13,,CIVIC,1,,1,,1,1
1040040,2,1993,13,,NIGHTHAWK,8,,1,,1,1
1040040,3,1996,97,MOTOGUZZI,850 LEMANS,8,,1,,1,1
1040040,4,1998,97,MZ,SILVERSTAR,8,,1,,1,1
1040040,5,1969,97,MZ,CAFE STYLE,8,,1,,1,1
1040043,1,1995,9,,F 150,7,,1,,1,1
1040043,2,1994,6,,ASTROVAN,3,,1,,1,1
1040043,3,1994,34,,DON'T KNOW,1,,1,,1,1
1040045,1,1982,9,,RANGER,7,,1,,1,1
1040045,2,1993,30,,SUNBIRD,1,,1,,1,1
1040045,3,1989,8,,DYNASTY,1,,1,,1,1
1040045,4,1995,6,,BLAZER,4,,1,,1,1
1040045,5,1997,5,,CATERA,1,,1,,1,1
1040188,1,1995,25,,SL,1,,1,,2,1
1040188,2,1998,25,,ESU,1,,1,,2,1
1040191,1,1980,5,,EIGHTY,1,,1,,1,1
1040191,2,2000,5,,EL DORADO,1,,1,,1,1
1040199,1,1987,3,,325,1,,1,,1,1
1040199,2,1995,3,,GS 1000,8,,1,,1,1
1040402,1,1991,7,,NEW YORKER,1,,1,,2,1
1040402,2,1974,9,,PICK UP,7,,1,,2,1
1040419,1,2000,15,,Q 45,1,,1,,2,1
1040419,2,1999,9,,RANGER,7,,1,,2,1
1040419,3,1999,9,,ESCORT,1,,1,,2,1
1040440,1,1991,9,,F 150,7,,1,,2,1
1040440,2,1993,8,,CARAVAN,3,,1,,2,1
1040466,1,1998,22,,CONTINENTAL,1,,1,,2,1
1040466,2,1990,9,,PROBE,2,,1,,2,1
1040466,3,1993,13,,CIVIC,2,,1,,2,1
1040483,1,1991,28,,CUTLASS,1,,1,,2,1
1040483,2,1994,9,,TAURUS,1,,1,,2,1
1040505,1,1993,9,,TAURUS,1,,1,,2,1
1040505,2,1993,4,,CENTURY,1,,1,,2,1
1040522,1,1996,6,,S 10,7,,1,,2,1
1040564,1,1990,9,,TAURUS,2,,1,,1,1
1040564,2,8888,1,,DFG,1,,1,,1,1
1040581,1,2000,38,,JETTA,1,,1,,1,1
1040581,2,1999,9,,RANGER,7,,1,,1,1
1040581,3,1999,9,,ESCORT,1,,1,,1,1
1040581,4,1997,24,,TRACER,1,,1,,1,1
1040581,5,1995,24,,SABLE,1,,1,,1,1
1040612,1,1984,9,,PICK UP,2,,1,,1,1
1040612,2,1984,4,,BONNEVILLE,1,,1,,1,1
1040612,3,1993,38,,JETTA,1,,1,,1,1
1040612,4,1996,27,,ALTIMA,1,,1,,1,1
1040824,1,1995,27,,ZXE,1,,1,,1,1
1040824,2,1999,38,,PASSAT,1,,1,,1,1
1040824,3,2000,9,,F 150,7,,1,,1,1
1040828,1,1994,29,,VOYAGER,3,,1,,1,1
1040828,2,1992,33,,9000,1,,1,,1,1
1040828,3,1990,27,,ZX,2,,1,,1,1
1040835,1,1998,25,,SUV,4,,1,,1,1
1040835,2,1995,27,,MAXIMA,1,,1,,1,1
1041060,1,1989,8,,RAM,3,,1,,1,1
1041060,2,1992,9,,CROWN VICTORIA,1,,1,,1,1
1041060,3,1989,36,,MOTORCYCLE,8,,1,,1,1
1041087,1,1994,39,,850 TURBO,1,,1,,1,1
1041087,2,1997,9,,RANGER,7,,1,,1,1
1041124,1,1998,27,,SENTRA,1,,1,,1,1
1041124,2,1996,27,,ALTIMA,1,,1,,1,1
1041156,1,1996,4,,SKYLARK,1,,1,,1,1
1041173,1,1995,9,,WINDSTAR,3,,1,,2,1
1041173,2,1990,8,,CARAVAN,3,,1,,2,1
1041258,1,1992,4,,STATION WAGON,6,,1,,2,1
1041258,2,1997,6,,CAMARO,2,,1,,2,1
1041339,1,1997,24,,VILLAGER,3,,1,,2,1
1041339,2,2000,9,,WINDSTAR,3,,2,,2,1
1041378,1,1990,37,,CAMRY,1,,1,,1,1
1041378,2,1987,37,,CAMRY,1,,1,,1,1
1041387,1,1992,28,,CUTLASS,1,,1,,1,1
1041393,1,1987,4,,ELANTRA,1,,1,,1,1
1041610,1,1990,37,,4 RUNNER,4,,1,,2,1
1041686,1,1995,30,,GRAND AM,2,,1,,1,1
1041689,1,1994,25,,BENZ,1,,1,,1,1
1041689,2,1990,21,,DON'T KNOW,1,,1,,1,1
1041696,1,1990,39,,245,6,,1,,1,1
1041696,2,2000,35,,FORESTER,4,,1,,1,1
1041887,1,2000,9,,CROWN VICTORIA,1,,1,,1,1
1041887,2,2000,6,,CAVALIER,1,,1,,1,1
1041887,3,1996,23,,626,1,,1,,1,1
1041935,1,1999,9,,ESCORT,1,,1,,2,1
1041935,2,1983,9,,MUSTANG,4,,1,,2,1
1042019,1,1997,8,,GRAND CARAVAN,3,,1,,2,1
1042019,2,1998,6,,SILVERADO,7,,1,,2,1
1042038,1,1999,30,,MONTANA,3,,1,,1,1
1042038,2,1998,27,,ALTIMA,1,,1,,1,1
1042038,3,1986,9,,TAURUS,6,,1,,1,1
1042038,4,1994,18,,CHEROKEE,4,,1,,1,1
1042048,1,1994,13,,ACCORD,1,,1,,1,1
1042048,2,1997,24,,MOUNTAINEER,4,,1,,1,1
1042069,1,1999,4,,CENTURY,1,,1,,2,1
1042069,2,1997,23,,RX 7,2,,1,,2,1
1042170,1,1995,9,,RANGER,7,,1,,1,1
1042170,2,1995,13,,CIVIC,1,,1,,1,1
1042197,1,1994,10,,METRO,4,,1,,1,1
1042197,2,1992,9,,TAURUS,1,,1,,1,1
1042197,3,1988,30,,SUNBIRD,2,,1,,1,1
1042197,4,1983,38,,RABBIT,2,,1,,1,1
1042197,5,1990,6,,CAVALIER,6,,1,,1,1
1042203,1,1999,34,,SL1,1,,1,,1,1
1042203,2,1996,34,,SL2,1,,1,,1,1
1042203,3,1995,37,,TERCEL,1,,1,,1,1
1042520,1,1997,9,,THUNDERBIRD,1,,1,,1,1
1042520,2,1991,37,,CELICA,1,,1,,1,1
1042531,1,1999,8,,STRATUS,1,,1,,1,1
1042680,1,1986,35,,STATION WAGON,6,,1,,1,1
1042682,1,1999,29,,VOYAGER,1,,1,,1,1
1042682,2,1999,9,,WINDSTAR,1,,2,,1,1
1042723,1,1999,20,,SEPHIA,1,,1,,1,1
1042723,2,1987,27,,SENTRA,1,,1,,1,1
1042751,1,1995,13,,ACCORD,1,,1,,1,1
1042775,1,1999,38,,PASSAT,1,,1,,1,1
1042786,1,1999,9,,EXPEDITION,4,,1,,1,1
1042786,2,1994,33,,9000,1,,1,,1,1
1042786,3,1994,34,,DON'T KNOW,1,,1,,1,1
1042910,1,2000,4,,LESABRE,1,,1,,2,1
1042927,1,1985,24,,MARQUIS,1,,1,,2,1
1042963,1,1989,18,,CHEROKEE,4,,1,,2,1
1043013,1,1999,6,,LUMINA,1,,1,,2,1
1043029,1,1998,6,,SUBURBAN,4,,1,,2,1
1043060,1,1994,34,,SL,1,,1,,2,1
1043060,2,1996,8,,GRAND CARAVAN,3,,1,,2,1
1043117,1,1994,9,,AEROSTAR,3,,1,,2,1
1043117,2,1990,9,,MUSTANG,2,,1,,2,1
1043117,3,1994,24,,TRACER,1,,1,,2,1
1043117,4,1999,27,,PATHFINDER,5,,1,,2,1
1043119,1,1992,9,,TEMPO,1,,1,,2,1
1043119,2,1993,9,,RANGER,7,,1,,2,1
1043119,3,2000,37,,AVALON,1,,1,,2,1
1043121,1,1998,38,,BEETLE,2,,1,,2,1
1043121,2,1995,8,,RAM,7,,1,,2,1
1043121,3,1992,6,,PICK UP,7,,1,,2,1
1043539,1,1994,23,,PROTEGE,1,,1,,2,1
1043539,2,1997,9,,ESCORT,1,,1,,2,1
1043542,1,2000,6,,IMPALA,1,,1,,2,1
1043542,2,1993,6,,S 10,7,,1,,2,1
