SAMPN,LISTD,HADDR,ADVLT,TOTVEH,DWELL,YRMOV,RENT,DIARY,ENGL,HHSIZE,NPHON,NFAX,NOPHO,PHSER,SHPHN,SHNUM,ETHNC,INCLV,INCOM,INCOME,ASSN,DPHON,NVIST,NPLAC,NTRIPS,NOWRK,NOSTU,OWNSH,EACCT,CPA,DAYOFWK,HBW,HBO,NHB,MOTTRIP
1081124,1,9081124,1,0,2,3,2,1,2,2,1,,2,,2,,5,1,2,10000,380,2,0,11,9,0,0,2,2,5,5,0,4,5,6
1081230,1,9081230,1,1,3,2,1,1,2,1,1,,2,,2,,1,1,2,10000,380,2,0,5,4,0,0,2,2,9,5,0,2,2,1
1081295,1,9081295,2,2,2,3,2,1,2,3,2,0,2,,2,,1,1,2,10000,399,2,0,14,11,1,1,2,2,10,3,2,8,1,10
1081942,1,9081942,1,0,1,3,2,1,2,1,1,,1,1,2,,2,1,2,10000,365,2,0,4,3,0,0,2,2,14,4,0,2,1,3
1082007,1,9082007,2,0,1,3,2,1,2,1,1,,2,,2,,1,1,2,10000,380,2,0,3,2,0,0,2,2,13,5,0,2,0,2
1082107,1,9082107,2,0,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,435,2,0,1,0,0,0,2,2,14,4,0,0,0,0
1082278,1,9082278,1,2,1,3,2,1,2,2,1,,2,,2,,2,1,2,10000,393,2,0,10,8,0,0,2,2,15,4,0,8,0,8
1082396,1,9082396,2,0,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,386,2,0,4,3,0,0,2,2,15,4,0,2,1,3
1082508,1,9082508,1,1,3,2,1,1,2,1,1,,2,,2,,2,1,2,10000,386,2,0,3,2,0,0,2,2,15,4,0,2,0,2
1083087,1,9083087,1,1,1,2,2,1,2,1,1,,1,1,2,,2,1,2,10000,392,2,0,6,5,1,0,2,1,19,3,2,0,3,5
1083546,1,9083546,8,1,1,3,2,1,2,2,2,1,1,1,2,,2,1,2,10000,393,2,0,14,12,2,0,2,2,23,4,0,12,0,12
1083962,1,9083962,1,0,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,398,2,0,1,0,0,0,2,2,32,2,0,0,0,0
1084054,1,9084054,3,0,3,3,1,1,2,1,1,,2,,2,,2,1,2,10000,385,2,0,5,4,0,0,2,2,30,3,0,4,0,2
1084110,1,9084110,3,0,3,2,1,1,2,1,1,,2,,2,,2,1,2,10000,441,2,0,3,2,0,0,2,2,31,3,0,2,0,0
1084414,1,9084414,3,2,3,3,2,1,2,2,1,,2,,2,,2,1,2,10000,366,2,0,9,7,0,0,2,2,33,5,0,4,3,7
1085119,1,9085119,8,1,3,2,1,1,2,1,1,,2,,2,,2,1,2,10000,391,2,0,1,0,0,0,2,2,37,2,0,0,0,0
1085241,1,9085241,3,4,1,3,2,1,2,4,2,0,2,,2,,2,1,2,10000,359,2,0,10,6,2,0,2,2,21,5,2,4,0,6
1085295,1,9085295,3,1,1,3,2,1,2,2,1,,2,,2,,2,1,2,10000,362,2,0,2,0,0,0,2,2,42,1,0,0,0,0
1085454,1,9085454,2,1,3,3,1,1,2,1,1,,2,,2,,2,1,2,10000,386,2,0,16,15,0,0,2,2,42,4,0,11,4,10
1085513,1,9085513,1,1,2,2,2,1,2,1,1,,2,,2,,2,1,2,10000,386,2,0,6,5,0,0,2,2,43,4,0,4,1,5
1086348,1,9086348,8,0,3,1,1,1,2,1,1,,2,,2,,1,1,2,10000,413,2,0,1,0,0,0,2,2,52,3,0,0,0,0
1086353,1,9086353,2,0,3,3,1,1,2,2,1,,2,,2,,2,1,2,10000,400,2,0,4,2,0,1,2,2,52,4,0,2,0,2
1086473,1,9086473,8,1,2,3,2,1,2,1,1,,2,,2,,2,1,2,10000,407,2,0,1,0,0,0,2,2,54,4,0,0,0,0
1087238,1,9087238,3,1,3,3,1,1,2,1,1,,2,,2,,2,1,2,10000,435,2,0,3,2,0,0,2,2,59,4,0,2,0,0
1087658,1,9087658,1,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,380,2,0,1,0,0,0,2,2,60,5,0,0,0,0
1087884,1,9087884,2,0,1,2,1,1,2,1,1,,2,,2,,2,1,2,10000,373,2,0,3,2,0,0,2,2,63,5,0,2,0,0
1088081,1,9088081,2,0,3,1,1,1,2,1,1,,2,,2,,2,1,2,10000,370,2,0,3,2,0,0,2,2,65,2,0,2,0,2
1088192,1,9088192,2,0,3,3,1,1,2,1,1,,2,,2,,2,1,2,10000,422,2,0,1,0,0,0,2,2,65,5,0,0,0,0
1088327,1,9088327,1,0,3,3,1,1,2,1,1,,2,,2,,2,1,2,10000,380,2,0,1,0,0,0,2,2,67,5,0,0,0,0
1088476,1,9088476,3,0,3,3,1,1,2,1,1,,2,,2,,2,1,2,10000,359,2,0,1,0,0,0,2,2,67,5,0,0,0,0
1090927,1,9090927,3,0,3,3,1,1,2,1,1,,2,,2,,2,1,2,10000,400,2,0,1,0,0,0,2,2,32,4,0,0,0,0
1091809,1,9091809,3,0,1,3,2,1,2,2,2,0,1,3,2,,2,1,2,10000,399,2,0,8,6,1,0,2,2,3,3,2,4,0,4
1091824,1,9091824,2,0,2,3,2,1,2,1,1,,2,,2,,2,1,2,10000,413,2,0,1,0,0,0,2,2,3,3,0,0,0,0
1091826,1,9091826,2,2,2,3,2,1,2,2,1,,2,,2,,1,1,2,10000,419,2,0,4,2,0,0,2,2,3,2,0,2,0,2
1091830,1,9091830,1,0,3,3,1,1,2,1,1,,2,,2,,1,1,2,10000,419,2,0,1,0,0,0,2,2,3,2,0,0,0,0
1091852,1,9091852,8,0,3,3,1,1,2,2,1,,2,,2,,1,1,2,10000,419,2,0,2,0,0,0,2,2,3,2,0,0,0,0
1092572,1,9092572,3,0,1,2,1,1,2,1,1,,2,,2,,1,1,2,10000,407,2,0,1,0,0,0,2,2,4,4,0,0,0,0
1093160,1,9093160,3,0,1,3,2,1,2,1,2,0,2,,2,,1,1,2,10000,441,2,0,1,0,0,0,2,2,5,3,0,0,0,0
1093481,1,9093481,3,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,435,2,0,6,5,0,0,2,2,54,4,0,4,1,5
1093543,1,9093543,3,0,1,2,2,1,2,1,1,,2,,2,,2,1,2,10000,418,2,0,1,0,0,0,2,2,54,1,0,0,0,0
1093854,1,9093854,3,0,2,2,1,1,2,2,1,,2,,2,,1,1,2,10000,418,2,0,2,0,0,0,2,2,6,1,0,0,0,0
1094635,1,9094635,3,0,2,2,2,1,2,1,1,,2,,2,,2,1,2,10000,420,2,0,3,2,1,0,2,2,7,3,2,0,0,0
1094649,1,9094649,3,0,1,3,1,1,2,1,1,,2,,2,,2,1,2,10000,441,2,0,1,0,0,0,2,2,6,3,0,0,0,0
1097028,2,9097028,3,0,1,2,1,1,2,1,1,,2,,2,,2,1,2,10000,406,2,0,1,0,0,0,2,2,2,3,0,0,0,0
1097994,2,9097994,3,0,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,405,2,0,3,2,0,0,2,2,67,2,0,2,0,0
1098725,1,9098725,3,0,3,3,1,1,2,1,1,,2,,2,,1,1,2,10000,426,2,0,1,0,0,0,2,2,2,2,0,0,0,0
1099623,1,9099623,3,0,5,3,1,1,2,3,1,,1,1,2,,2,1,2,10000,426,2,0,7,4,0,2,2,2,29,2,0,4,0,4
1104959,1,9104959,3,0,3,3,1,1,2,1,2,0,2,,2,,1,1,2,10000,441,2,0,1,0,0,0,2,2,2,3,0,0,0,0
1105159,1,9105159,3,1,2,3,2,1,2,6,1,,2,,2,,1,1,2,10000,443,2,0,19,13,0,4,2,2,6,5,0,9,4,10
1105295,1,9105295,3,0,3,3,1,1,2,1,1,,2,,2,,1,1,2,10000,443,2,0,1,0,0,0,2,2,6,5,0,0,0,0
1105887,1,9105887,3,2,1,2,1,1,2,3,5,2,2,,2,,2,1,2,10000,442,1,0,21,18,0,1,2,2,15,4,0,12,6,18
1106339,1,9106339,3,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,443,2,0,7,6,0,0,2,2,48,5,0,4,2,6
1106874,1,9106874,3,0,3,2,1,1,2,1,1,,1,1,2,,2,1,2,10000,443,2,0,1,0,0,0,2,2,11,5,0,0,0,0
1108107,1,9108107,3,0,3,3,1,1,2,1,1,,2,,2,,2,1,2,10000,443,2,0,3,2,0,0,2,2,63,5,0,2,0,2
1108446,1,9108446,3,0,1,3,2,1,2,1,1,,1,1,2,,2,1,2,10000,443,2,0,1,0,0,0,2,2,68,5,0,0,0,0
1108460,1,9108460,3,1,3,3,2,1,2,1,1,,2,,2,,2,1,2,10000,443,2,0,1,0,0,0,2,2,69,5,0,0,0,0
1011017,1,9011017,2,1,1,3,2,1,2,3,2,0,2,,2,,2,1,2,10000,350,2,0,18,15,0,2,1,2,68,3,0,15,0,11
1030871,1,9030871,3,0,1,3,2,1,2,1,4,0,1,1,2,,2,1,2,10000,352,2,0,3,2,0,0,2,2,52,5,0,2,0,2
1032208,1,9032208,2,1,3,3,1,1,2,2,1,,2,,2,,2,1,2,10000,418,2,0,2,0,0,0,2,2,25,1,0,0,0,0
1040499,1,9040499,8,0,1,3,2,1,2,1,1,,2,,2,,1,1,2,10000,350,2,0,1,0,0,0,2,2,69,3,0,0,0,0
1048224,1,9048224,3,0,2,3,2,1,2,1,1,,2,,2,,2,1,2,10000,371,2,0,3,2,0,0,2,2,63,3,0,2,0,2
1049288,1,9049288,8,1,1,3,2,1,2,1,1,,2,,2,,1,1,2,10000,355,1,0,1,0,0,0,2,2,63,1,0,0,0,0
1051049,1,9051049,2,0,3,2,1,1,2,1,1,,2,,2,,2,1,2,10000,350,1,0,3,2,0,0,2,2,51,3,0,2,0,0
1068051,2,9068051,2,0,1,2,1,1,2,3,1,,2,,2,,1,1,2,10000,350,2,0,10,7,1,2,2,2,52,3,1,5,1,4
1076027,2,9076027,3,1,3,3,1,1,2,2,1,,2,,2,,1,1,2,10000,392,2,0,10,8,1,1,2,2,1,3,0,4,4,0
1076079,2,9076079,3,0,2,3,2,1,2,1,1,,2,,2,,2,1,2,10000,352,2,0,6,5,0,0,2,2,2,5,0,4,1,4
1076303,2,9076303,3,0,3,2,1,1,2,5,1,,2,,2,,1,1,2,10000,372,1,0,21,16,1,4,2,2,5,4,2,14,0,8
1076331,2,9076331,3,0,1,3,2,1,2,1,1,,2,,2,,1,1,2,10000,355,2,0,4,3,0,0,2,2,6,1,0,2,1,0
1076359,2,9076359,3,0,1,3,2,1,2,1,1,,2,,2,,1,1,2,10000,376,2,0,1,0,0,0,2,2,5,1,0,0,0,0
1076380,2,9076380,3,2,1,3,2,1,2,2,1,,2,,2,,2,1,2,10000,378,2,0,2,0,0,0,2,2,7,3,0,0,0,0
1076437,2,9076437,3,0,3,3,2,1,2,1,1,,2,,2,,1,1,2,10000,369,2,0,3,2,1,0,2,2,10,1,2,0,0,2
1076936,2,9076936,3,1,1,2,2,1,2,1,1,,2,,2,,2,1,2,10000,392,2,0,9,8,0,0,2,2,16,3,0,4,4,8
1079943,1,9079943,1,0,3,3,2,1,2,1,1,,2,,2,,2,1,2,10000,390,2,0,6,5,0,0,2,2,1,1,0,4,1,3
1079998,1,9079998,2,2,1,2,1,1,2,2,2,0,1,2,2,,3,1,2,10000,376,2,0,8,6,0,2,1,2,2,1,0,4,2,2
1080485,1,9080485,8,0,1,1,1,1,2,1,1,,2,,2,,1,1,2,10000,384,2,0,4,3,1,0,2,2,4,2,2,0,1,0
1080560,1,9080560,8,0,1,3,2,1,2,3,1,,2,,2,,1,1,2,10000,432,2,0,5,2,1,0,2,2,4,1,0,2,0,2
1080712,1,9080712,2,0,2,2,1,1,2,2,1,,2,,2,,2,1,2,10000,380,2,0,12,10,1,2,2,2,5,5,1,3,6,6
1080828,1,9080828,1,0,2,3,1,1,2,1,1,,2,,2,,1,1,2,10000,397,2,0,1,0,0,0,2,2,5,1,0,0,0,0
1080891,1,9080891,1,0,2,2,1,1,2,1,1,,2,,2,,2,1,2,10000,376,2,0,5,4,1,0,2,2,5,1,1,1,2,0
1081042,1,9081042,8,0,3,2,1,1,2,1,1,,2,,2,,1,1,2,10000,387,2,0,3,2,0,0,2,2,6,5,0,2,0,2
1081105,1,9081105,1,0,1,3,2,1,2,1,1,,1,1,2,,2,1,2,10000,371,2,0,6,5,0,0,2,2,7,3,0,4,1,2
1081205,1,9081205,8,1,3,2,1,1,2,1,1,,1,1,2,,2,1,2,10000,365,2,0,5,4,0,1,2,2,9,4,0,4,0,2
1081214,1,9081214,2,0,3,3,1,1,2,1,1,,2,,2,,2,1,2,10000,384,2,0,1,0,0,0,2,2,9,2,0,0,0,0
1081228,1,9081228,1,1,1,3,2,1,2,3,1,,2,,2,,1,1,2,10000,397,2,0,7,4,1,0,2,2,9,1,2,2,0,4
1081565,1,9081565,8,0,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,399,2,0,1,0,0,0,2,2,11,3,0,0,0,0
1081923,1,9081923,3,1,3,2,1,1,2,1,1,,2,,2,,2,1,2,10000,371,2,0,3,2,0,0,2,2,13,3,0,2,0,2
1082071,1,9082071,3,1,1,3,2,1,2,1,1,,1,1,2,,2,1,2,10000,370,2,0,1,0,1,0,2,2,14,2,0,0,0,0
1082133,1,9082133,2,1,1,3,2,1,2,1,2,0,2,,2,,2,1,2,10000,384,2,0,11,10,1,0,2,2,14,2,2,4,4,10
1082214,1,9082214,2,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,385,2,0,4,3,0,0,2,2,14,3,0,2,1,3
1082292,1,9082292,8,0,1,3,1,1,2,1,1,,2,,2,,2,1,2,10000,386,2,0,1,0,0,0,2,2,15,4,0,0,0,0
1082427,1,9082427,8,2,2,2,2,1,2,2,1,,2,,2,,2,1,2,10000,380,2,0,10,8,1,1,2,1,15,5,1,4,3,5
1082477,1,9082477,1,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,380,2,0,6,5,0,0,2,2,15,5,0,2,3,5
1082684,1,9082684,1,2,1,3,2,1,2,2,1,,2,,2,,2,1,2,10000,405,1,0,6,4,0,0,2,2,16,2,0,4,0,4
1082717,1,9082717,2,1,2,3,2,1,2,1,1,,2,,2,,2,1,2,10000,365,2,0,3,2,0,0,2,2,16,4,0,2,0,2
1083685,1,9083685,2,2,2,3,2,2,2,2,1,,2,,2,,2,1,2,10000,419,2,0,2,0,0,0,2,2,25,2,0,0,0,0
1083686,1,9083686,3,4,1,3,2,1,2,3,1,,2,,2,,2,1,2,10000,363,2,0,6,3,2,0,2,2,26,2,1,1,1,3
1083723,1,9083723,1,1,3,3,1,1,2,1,1,,2,,2,,2,1,2,10000,379,2,0,3,2,0,0,2,2,25,4,0,2,0,2
1083733,1,9083733,3,2,1,3,1,1,2,3,2,1,2,,2,,2,1,2,10000,378,2,0,17,14,1,2,2,1,27,3,2,12,0,14
1083862,1,9083862,1,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,365,2,0,1,0,0,0,2,2,28,4,0,0,0,0
1084172,1,9084172,2,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,393,2,0,1,0,0,0,2,2,33,4,0,0,0,0
1084415,1,9084415,1,2,1,3,2,1,2,2,1,,1,1,2,,2,1,2,10000,387,2,0,6,4,0,0,2,2,33,5,0,4,0,4
1084440,1,9084440,8,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,411,2,0,3,2,0,0,2,2,34,1,0,2,0,2
1085108,1,9085108,3,0,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,392,2,0,1,0,0,0,2,2,37,3,0,0,0,0
1086211,1,9086211,1,1,5,3,2,1,2,3,1,,2,,2,,2,1,2,10000,384,2,0,23,20,0,0,2,2,50,2,0,20,0,20
1086756,1,9086756,1,2,1,3,2,1,2,3,1,,2,,2,,2,1,2,10000,418,2,0,19,16,0,0,2,2,54,1,0,14,2,16
1086783,1,9086783,3,3,1,3,2,1,2,4,2,1,2,,2,,2,1,2,10000,363,2,0,23,19,2,2,1,1,54,2,5,9,5,19
1087413,1,9087413,8,2,2,3,1,1,2,1,1,,2,,2,,1,1,2,10000,399,2,0,7,6,1,0,2,2,59,3,2,2,2,6
1088110,1,9088110,2,0,2,2,2,1,2,1,1,,1,1,2,,2,1,2,10000,434,2,0,6,5,0,0,2,2,65,3,0,4,1,1
1088210,1,9088210,2,0,3,3,1,1,2,1,1,,2,,2,,2,1,2,10000,434,2,0,1,0,0,0,2,2,65,3,0,0,0,0
1088273,1,9088273,1,0,4,3,1,1,2,1,1,,2,,2,,2,1,2,10000,369,2,0,1,0,0,0,2,2,66,1,0,0,0,0
1088282,1,9088282,2,3,1,3,2,1,2,4,2,1,1,1,2,,2,1,2,10000,398,2,0,14,10,0,1,2,2,66,2,0,4,6,8
1088683,1,9088683,2,2,1,3,2,1,2,2,1,,2,,2,,2,1,2,10000,401,2,0,4,2,1,0,2,2,39,5,2,0,0,2
1090898,1,9090898,1,2,2,3,2,1,2,1,1,,2,,2,,1,1,2,10000,413,2,0,11,10,1,0,2,2,10,3,2,6,2,10
1091189,1,9091189,3,1,1,3,2,1,2,2,2,0,2,,2,,2,1,2,10000,436,2,0,2,0,0,0,2,2,11,5,0,0,0,0
1091439,1,9091439,3,0,1,3,2,2,2,1,1,,2,,2,,2,1,2,10000,419,2,0,1,0,0,0,2,2,18,2,0,0,0,0
1093424,1,9093424,3,1,3,3,1,1,2,1,1,,2,,2,,1,1,2,10000,407,2,0,5,4,0,0,2,2,52,4,0,4,0,4
1094133,1,9094133,3,0,3,3,1,1,2,2,1,,2,,2,,1,1,2,10000,425,2,0,2,0,1,1,2,2,63,1,0,0,0,0
1094203,1,9094203,3,0,3,2,1,1,2,1,1,,1,1,2,,1,1,2,10000,418,2,0,3,2,1,0,2,2,63,1,2,0,0,2
1094226,1,9094226,3,1,3,2,1,1,2,1,1,,1,1,2,,2,1,2,10000,418,2,0,10,9,1,1,2,1,63,1,0,6,3,1
1094402,1,9094402,3,1,1,3,1,1,2,1,1,,2,,2,,2,1,2,10000,419,2,0,7,6,1,0,2,2,66,2,5,1,0,6
1094530,1,9094530,3,1,3,3,1,1,2,2,1,,2,,2,,2,1,2,10000,399,2,0,8,6,0,0,2,2,67,3,0,6,0,6
1094647,1,9094647,3,0,1,3,2,1,2,2,1,,2,,2,,2,1,2,10000,422,2,0,5,3,0,0,2,2,7,5,0,2,1,2
1094976,1,9094976,3,1,3,3,1,1,2,1,1,,2,,2,,2,1,2,10000,400,2,0,1,0,0,0,2,2,72,4,0,0,0,0
1094999,1,9094999,3,1,3,3,1,1,2,1,1,,2,,2,,2,1,2,10000,425,2,0,6,5,1,0,2,2,39,1,1,3,1,5
1098030,2,9098030,3,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,401,2,0,1,0,0,0,2,2,70,5,0,0,0,0
1098032,2,9098032,3,2,1,1,1,1,2,2,1,,1,2,2,,2,1,2,10000,441,2,0,10,8,0,2,2,2,70,3,0,6,2,8
1099099,1,9099099,3,0,3,2,1,1,2,1,1,,2,,2,,2,1,2,10000,441,2,0,3,2,0,1,2,2,15,3,0,2,0,2
1099228,1,9099228,3,2,1,3,2,1,2,2,1,,2,,2,,2,1,2,10000,434,2,0,4,2,0,0,2,2,16,3,0,2,0,2
1101300,1,9101300,3,1,3,1,1,1,2,3,1,,1,3,2,,1,1,2,10000,434,2,0,7,4,1,0,2,2,6,3,2,2,0,4
1101862,1,9101862,3,0,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,435,2,0,3,2,0,0,2,2,7,4,0,2,0,2
1104942,1,9104942,3,0,3,1,1,1,2,1,1,,2,,2,,2,1,2,10000,442,2,0,4,3,0,1,2,2,1,4,0,2,1,2
1104947,1,9104947,3,0,3,1,1,1,2,2,1,,2,,2,,2,1,2,10000,442,2,0,13,11,1,2,2,2,1,4,0,10,1,0
1105053,1,9105053,3,0,3,1,1,1,2,1,1,,2,,2,,5,1,2,10000,443,2,0,3,2,0,1,2,1,1,5,0,2,0,2
1105157,1,9105157,3,1,1,2,1,1,2,3,1,,2,,2,,1,1,2,10000,441,2,0,10,7,0,1,2,2,6,3,0,5,2,7
1105215,1,9105215,3,1,1,3,2,1,2,1,1,,2,,2,,1,1,2,10000,441,2,0,1,0,0,0,2,2,6,3,0,0,0,0
1105847,1,9105847,3,1,2,3,2,1,2,1,1,,2,,2,,2,1,2,10000,443,2,0,4,3,0,0,2,2,15,5,0,2,1,3
1106291,1,9106291,3,0,1,3,2,1,2,2,1,,2,,2,,2,1,2,10000,443,2,0,2,0,0,0,2,2,46,5,0,0,0,0
1107808,1,9107808,3,2,1,3,2,1,2,2,1,,2,,2,,2,1,2,10000,443,2,0,9,7,0,0,2,2,54,5,0,4,3,7
1108488,1,9108488,3,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,443,2,0,10,9,0,0,2,2,69,5,0,8,1,9
1083491,1,9083491,1,2,1,3,2,1,2,2,1,,2,,2,,99,1,2,10000,387,2,0,6,4,0,0,2,2,23,5,0,4,0,4
1085266,1,9085266,1,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,370,2,0,1,0,0,0,2,2,39,2,0,0,0,0
1085736,1,9085736,2,1,1,3,2,1,2,1,1,,2,,2,,2,1,2,10000,398,2,0,7,6,0,0,2,2,46,2,0,4,2,6
1088357,1,9088357,1,2,1,3,2,1,2,2,1,,2,,2,,2,1,2,10000,414,2,0,14,12,0,0,2,2,67,4,0,6,6,12
