SAMPN,PERNO,GEND,AGE,LIC,RESP,RELAT,DISAB,DISTY1,DISTY2,DABLO,EDUC,LEVEL,S_LOC,SHOME,SDAY,SMODE1,SMODE2,SMODE3,SMOO,SCOST,SUNIT,EMPL,NOJOB,NMJOB,ETYPE,ETYPO,W1IND,W1INO,W1OCC,W1OCO,W1TIM,W1DAY,W1HOM,W1HMO,W1CPR,W1CPT,W1CPO,W1WKE,W1WKD1,W1WKD2,W1WKD3,W1WKD4,O_W1WKD,W1TYP,W1LOC,W1MOD1,W1MOD2,W1MOD3,W1MOO,W1NDV,W1CPK,W1CPU,W1EPK,W1PKL,W1PKLO,W1WLK,TRNST,VTRAN,TRNCT,TRNCU,SCHED,WSTIM,WETIM,SETIM,VSTIM,VSTMO,VETIM,VETMO,W2TY,W2TYO,W2TYP,W2LOC,W2IND,W2INO,W2OCC,W2OCO,W2DAY,W2HOM,W2HOO,W2ST,W2ET,HMALL,PNMPL,NTRIPS,DIARY,PROXY,HBW,HBO,NHB,MOTTRIP,NOMOTTRP,CPA,FIPS,REGION,DVRPC
1000261,1,1,58,1,1,1,2,,,,2,,,,,,,,,,,1,,2,3,,71,,2,,3,5,0,,2,,,2,1,2,3,4,,1,9000261,,,,,1,,,,,,,,,,,2,900,1800,1,,,,,,,,,,,,,,,,,,2,6,5,1,0,0,4,1,5,0,58,34005,2,1
1000271,1,1,55,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,52,,2,,2,5,0,,2,,,1,1,,,,,2,62,21,,,,1,0.00,,1,1,,1,2,,,,2,800,1800,1,,,,,,,,,,,,,,,,,,2,3,2,1,0,2,0,0,2,0,58,34005,2,1
1000271,2,2,51,1,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,56,,1,,2,5,0,,2,,,0,,,,,,2,63,21,,,,2,0.00,,1,1,,2,2,,,,2,815,1800,1,,,,,,,,,,,,,,,,,,2,3,2,1,1,2,0,0,2,0,58,34005,2,1
1000308,1,1,40,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,97,SALES,2,,2,5,0,,2,,,1,1,,,,,2,100,21,,,,2,0.00,,1,1,,1,2,,14.00,1,2,900,2100,2,5,,1,,,,,,,,,,,,,,,2,9,8,1,98,0,4,4,8,0,58,34005,2,1
1000317,1,2,60,1,1,1,2,,,,2,,,,,,,,,,,2,,2,1,,72,,8,,1,3,0,,,,,2,1,3,,,,2,106,21,,,,2,0.00,,2,1,,1,2,,1.00,1,1,800,1700,2,5,,5,,,,,,,,,,,,,,,2,5,4,1,0,2,2,0,4,0,58,34005,2,1
1000317,2,1,62,1,2,2,2,,,,2,,,,,,,,,,,2,,2,1,,72,,8,,1,4,0,,,,,1,1,,,,,2,107,21,,,,2,0.00,,2,1,,1,2,,1.00,1,2,900,1700,1,,,,,,,,,,,,,,,,,,2,8,7,1,1,1,5,1,7,0,58,34005,2,1
1000341,1,2,34,1,1,1,2,,,,2,,,,,,,,,,,1,,2,2,,92,,5,,3,5,0,,2,,,0,,,,,,2,189,21,,,,2,0.00,,2,1,,5,2,,,,2,830,1630,1,,,,,,,,,,,,,,,,,,2,5,4,1,0,0,2,2,4,0,58,34005,2,1
1000341,2,1,33,1,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,23,,10,,2,5,0,,2,,,0,,,,,,2,190,21,,,,2,0.00,,2,3,,1,2,,,,1,830,1730,1,,,,,,,,,,,,,,,,,,2,5,4,1,1,1,1,2,4,0,58,34005,2,1
1000341,3,2,5,,2,3,2,,,,1,3,140,2,5,22,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,2,0,58,34005,2,1
1000341,4,1,3,,2,3,2,,,,1,2,141,2,5,22,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,2,0,58,34005,2,1
