SAMPN,PERNO,GEND,AGE,LIC,RESP,RELAT,DISAB,DISTY1,DISTY2,DABLO,EDUC,LEVEL,S_LOC,SHOME,SDAY,SMODE1,SMODE2,SMODE3,SMOO,SCOST,SUNIT,EMPL,NOJOB,NMJOB,ETYPE,ETYPO,W1IND,W1INO,W1OCC,W1OCO,W1TIM,W1DAY,W1HOM,W1HMO,W1CPR,W1CPT,W1CPO,W1WKE,W1WKD1,W1WKD2,W1WKD3,W1WKD4,O_W1WKD,W1TYP,W1LOC,W1MOD1,W1MOD2,W1MOD3,W1MOO,W1NDV,W1CPK,W1CPU,W1EPK,W1PKL,W1PKLO,W1WLK,TRNST,VTRAN,TRNCT,TRNCU,SCHED,WSTIM,WETIM,SETIM,VSTIM,VSTMO,VETIM,VETMO,W2TY,W2TYO,W2TYP,W2LOC,W2IND,W2INO,W2OCC,W2OCO,W2DAY,W2HOM,W2HOO,W2ST,W2ET,HMALL,PNMPL,NTRIPS,DIARY,PROXY,HBW,HBO,NHB,MOTTRIP,NOMOTTRP,CPA,FIPS,REGION,DVRPC
1043539,1,1,36,1,1,1,2,,,,2,,,,,,,,,,,1,,2,2,,54,,2,,3,5,0,,2,,,0,,,,,,2,8186,21,,,,2,0.00,,2,1,,3,2,,,,2,830,1630,1,,,,,,,,,,,,,,,,,,2,4,3,1,0,1,1,1,3,0,54,34021,2,1
1043539,2,2,999,1,2,2,2,,,,2,,,,,,,,,,,2,,2,1,,56,,5,,2,3,1,,,,,1,8,,,,,2,8187,21,,,,2,0.00,,2,1,,1,8,,,,1,900,1700,1,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,54,34021,2,1
1043542,1,2,55,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,44,,4,,3,5,0,,2,,,0,,,,,,2,7235,21,,,,2,0.00,,1,1,,2,2,,,,2,930,1730,1,,,,,,,,,,,,,,,,,,2,5,4,1,0,1,1,2,4,0,54,34021,2,1
1043542,2,1,57,1,2,2,2,,,,2,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,1,1,0,4,0,4,0,54,34021,2,1
1043546,1,2,43,1,1,1,2,,,,1,6,8160,2,1,21,,,,0.00,,1,,2,1,,48,,5,,3,5,97,ONCE A MONTH,2,,,0,,,,,,2,8235,21,,,,2,0.00,,2,1,,1,2,,45.00,3,2,1000,1600,1,,,,,,,,,,,,,,,,,,2,6,5,1,0,1,1,3,5,0,54,34021,2,1
1043546,2,1,47,1,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,32,,3,,2,5,0,,2,,,0,,,,,,2,8236,21,,,,2,0.00,,2,1,,98,2,,45.00,3,1,630,1500,1,,,,,,,,,,,,,,,,,,2,7,6,1,1,2,4,0,6,0,54,34021,2,1
1043591,1,2,56,1,1,1,2,,,,2,,,,,,,,,,,1,,2,2,,54,,1,,3,5,0,,2,,,0,,,,,,2,8287,21,,,,2,0.00,,2,1,,98,2,,60.00,3,2,830,1530,1,,,,,,,,,,,,,,,,,,2,6,5,1,0,1,3,1,5,0,54,34021,2,1
1043591,2,2,30,1,2,9,9,,,,2,,,,,,,,,,,1,,2,99,,99,,99,,9,9,0,,9,,,0,,,,,,2,12348,99,,,,9,,,,,,,9,,,,9,9999,9999,1,,,,,,,,,,,,,,,,,,2,6,5,1,1,1,3,1,5,0,54,34021,2,1
1043591,3,1,59,1,2,9,9,,,,2,,,,,,,,,,,1,,2,99,,99,,99,,9,9,0,,9,,,0,,,,,,2,12349,99,,,,9,,,,,,,9,,,,9,9999,9999,1,,,,,,,,,,,,,,,,,,2,3,2,2,3,0,0,2,0,2,54,34021,2,1
1043591,4,2,9,,2,9,9,,,,1,3,12347,2,5,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,2,1,0,4,0,4,0,54,34021,2,1
1043608,1,1,59,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,22,,3,,2,5,0,,2,,,2,1,2,,,,2,3486,21,,,,1,0.00,,2,1,,2,2,,,,2,800,1700,1,,,,,,,,,,,,,,,,,,2,3,2,1,0,2,0,0,2,0,54,34021,2,1
1043608,2,2,79,2,2,4,2,,,,2,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,54,34021,2,1
1043627,1,1,40,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,48,,12,,3,5,0,,2,,,1,1,2,,,,2,5962,21,,,,2,0.00,,1,1,,98,2,,,,2,9999,9999,2,7,HOURS AT A TIME,7,HOURS AT A TIME,,,,,,,,,,,,,,1,1,0,2,0,0,0,0,0,0,25,42029,1,1
1043701,1,2,31,1,1,1,2,,,,2,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,0,0,0,0,0,0,23,42029,1,1
1043701,2,1,28,2,2,2,2,,,,2,,,,,,,,,,,1,,2,3,,72,,1,,2,5,0,,2,,,0,,,,,,2,7560,21,,,,2,0.00,,9,3,,0,2,,,,2,900,1700,1,,,,,,,,,,,,,,,,,,2,3,2,2,1,2,0,0,2,0,23,42029,1,1
1043701,3,2,0,,2,3,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,0,0,0,0,0,23,42029,1,1
1043727,1,1,46,1,1,1,2,,,,2,,,,,,,,,,,1,,1,1,,52,,2,,3,5,0,,2,,,0,,,,,,2,1348,21,,,,2,0.00,,2,1,,1,2,,,,2,900,1700,1,,,,,2,,2,1352,92,,1,,2,3,,1930,2200,2,7,6,2,0,3,1,2,6,0,57,34021,2,1
1043731,1,2,45,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,56,,1,,3,5,0,,2,,,0,,,,,,2,7291,21,,,,2,0.00,,1,1,,1,2,,,,2,830,1930,2,5,,5,,,,,,,,,,,,,,,2,7,6,2,0,1,3,2,6,0,57,34021,2,1
1043731,2,1,51,1,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,54,,2,,2,5,0,,2,,,0,,,,,,2,7292,21,,,,2,0.00,,1,1,,5,2,,,,2,900,1900,2,5,,5,,,,,,,,,,,,,,,1,1,0,2,0,0,0,0,0,0,57,34021,2,1
1043731,3,2,19,1,2,3,2,,,,1,6,7110,2,5,99,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,0,0,0,0,0,57,34021,2,1
1043731,4,2,16,2,2,3,2,,,,1,4,7111,2,5,46,31,,,0.00,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,5,2,1,0,4,1,4,1,57,34021,2,1
1043745,1,1,53,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,54,,3,,3,5,0,,2,,,0,,,,,,2,7611,21,,,,2,0.00,,2,1,,2,2,,,,2,900,1800,1,,,,,,,,,,,,,,,,,,2,5,4,1,0,0,2,2,4,0,57,34021,2,1
1043753,1,2,37,1,1,1,2,,,,2,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,7,1,0,0,6,1,7,0,57,34021,2,1
1043753,2,1,38,1,2,2,2,,,,2,,,,,,,,,,,1,,2,4,,56,,4,,2,5,0,,2,,,0,,,,,,2,4046,21,52,,,2,360.00,7,2,1,,98,2,,2.49,3,2,900,1800,1,,,,,,,,,,,,,,,,,,2,5,4,1,1,0,2,2,4,0,57,34021,2,1
1043753,3,1,5,,2,3,2,,,,1,2,4024,2,5,22,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,2,1,0,2,2,4,0,57,34021,2,1
1043753,4,2,2,,2,3,2,,,,1,1,6303,2,5,22,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,7,2,1,0,6,1,7,0,57,34021,2,1
1043768,1,2,45,1,1,1,2,,,,2,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,9,1,0,0,8,1,9,0,57,34021,2,1
1043768,2,1,50,1,2,2,2,,,,2,,,,,,,,,,,1,,2,3,,62,,2,,3,4,0,,2,,,1,1,,,,,1,9043768,,,,,1,,,,,,,,,,,8,700,1900,2,5,,5,,,,,,,,,,,,,,,2,5,4,1,1,0,4,0,4,0,57,34021,2,1
1043768,3,2,12,,2,3,2,,,,1,3,8917,2,5,22,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,2,0,57,34021,2,1
1043768,4,1,9,,2,3,2,,,,1,3,8918,2,5,22,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,0,2,57,34021,2,1
1043818,1,1,28,1,1,1,2,,,,2,,,,,,,,,,,1,,2,3,,51,,11,,2,5,7,,2,,,2,1,2,3,4,,1,9043818,,,,,2,,,,,,,,,,,2,900,1700,1,,,,,,,,,,,,,,,,,,2,3,2,1,0,0,2,0,2,0,70,34015,2,1
1043818,2,2,28,1,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,52,,2,,1,5,0,,2,,,0,,,,,,2,8826,21,,,,2,0.00,,2,1,,1,2,,,,2,800,1700,1,,,,,,,,,,,,,,,,,,2,10,9,1,1,0,6,3,9,0,70,34015,2,1
1043818,3,2,18,1,2,9,2,,,,2,,,,,,,,,,,1,,2,1,,52,,5,,1,5,0,,2,,,0,,,,,,2,8827,22,,,,2,0.00,,2,1,,1,2,,,,2,800,1755,1,,,,,,,,,,,,,,,,,,2,12,11,1,1,0,8,3,11,0,70,34015,2,1
1043818,4,1,3,,2,3,2,,,,1,1,8737,2,5,22,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,5,1,1,0,4,1,5,0,70,34015,2,1
1043822,1,2,47,1,1,1,2,,,,2,,,,,,,,,,,1,,2,3,,56,,2,,3,5,7,,2,,,0,,,,,,1,9043822,,,,,2,,,,,,,,,,,2,800,1600,1,,,,,,,,,,,,,,,,,,2,5,4,1,0,0,4,0,4,0,70,34015,2,1
1043822,2,1,51,1,2,2,2,,,,2,,,,,,,,,,,1,,2,3,,56,,2,,3,5,5,,2,,,0,,,,,,1,9043822,,,,,2,,,,,,,,,,,2,800,1600,1,,,,,,,,,,,,,,,,,,2,5,4,1,1,0,4,0,4,0,70,34015,2,1
1043859,1,2,26,1,1,1,2,,,,2,,,,,,,,,,,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,0,0,2,0,2,0,70,34015,2,1
1043859,2,1,50,1,2,4,2,,,,2,,,,,,,,,,,1,,2,1,,22,,8,,3,5,0,,2,,,2,1,2,3,4,,2,9054,22,,,,1,0.00,,2,1,,98,2,,5.00,1,1,730,1730,2,5,,5,,,,,,,,,,,,,,,2,2,1,2,1,1,0,0,1,0,70,34015,2,1
1043859,3,2,50,1,2,4,2,,,,2,,,,,,,,,,,2,,2,1,,51,,4,,2,2,0,,,,,1,1,2,,,,2,9055,21,,,,2,0.00,,2,1,,1,2,,,,1,1000,1800,2,5,,3,,,,,,,,,,,,,,,2,3,2,2,1,0,2,0,2,0,70,34015,2,1
1043859,4,1,25,1,2,3,2,,,,1,6,12958,2,5,21,,,,0.00,,2,,2,1,,81,,8,,1,4,0,,,,,1,1,2,,,,2,9056,21,,,,2,0.00,,2,1,,1,2,,,,2,1600,2000,1,,,,,,,,,,,,,,,,,,2,6,5,2,1,1,3,1,5,0,70,34015,2,1
1043859,5,1,24,1,2,5,2,,,,2,,,,,,,,,,,2,,2,1,,44,,98,,8,8,0,,,,,0,,,,,,2,12711,99,,,,8,,,,,,,8,,,,8,9999,9999,1,,,,,,,,,,,,,,,,,,1,1,0,2,1,0,0,0,0,0,70,34015,2,1
1043859,6,2,21,1,2,5,2,,,,2,,,,,,,,,,,2,,2,1,,81,,8,,1,4,0,,,,,1,1,2,,,,2,9057,22,,,,2,0.00,,2,1,,1,2,,,,2,1600,2000,1,,,,,,,,,,,,,,,,,,1,1,0,2,1,0,0,0,0,0,70,34015,2,1
1043859,7,1,19,2,2,5,1,5,,,2,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,1,0,2,0,2,0,70,34015,2,1
1043859,8,1,18,1,2,5,2,,,,1,4,8946,2,5,21,,,,0.00,,2,,2,1,,72,,8,,2,3,0,,,,,1,1,2,4,,,2,9058,21,,,,2,0.00,,2,1,,1,2,,,,8,1700,2000,2,5,,5,,,,,,,,,,,,,,,2,5,4,2,1,2,2,0,4,0,70,34015,2,1
1043859,9,1,4,,2,3,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,2,1,0,2,1,3,0,70,34015,2,1
1043859,10,2,0,,2,3,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,0,0,0,0,0,70,34015,2,1
1043892,1,1,65,1,1,1,2,,,,2,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,1,0,0,4,0,4,0,70,34015,2,1
1043892,2,2,64,2,2,2,2,,,,2,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,0,0,0,0,0,70,34015,2,1
1043907,1,1,35,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,51,,10,,1,5,0,,2,,,1,1,2,,,,2,7259,21,,,,2,0.00,,2,1,,1,2,,,,2,730,1530,2,5,,5,,,,,,,,,,,,,,,2,10,9,1,0,2,6,1,9,0,70,34015,2,1
1043907,2,2,32,1,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,72,,13,,1,2,0,,2,,,2,1,2,3,4,,2,7260,21,,,,2,0.00,,2,1,,1,2,,,,1,1700,2400,2,1,,5,,,,,,,,,,,,,,,2,3,2,1,1,2,0,0,1,1,70,34015,2,1
1043907,3,1,11,,2,3,2,,,,1,3,7090,2,5,42,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,1,1,0,4,0,3,1,70,34015,2,1
1043907,4,2,7,,2,3,2,,,,1,3,7091,2,5,42,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,5,1,1,0,4,1,4,1,70,34015,2,1
1043908,1,2,43,1,1,1,2,,,,2,,,,,,,,,,,2,,2,4,,62,,1,,3,3,0,,,,,1,2,,,,,2,8818,21,,,,2,0.00,,1,1,,2,2,,,,2,1900,700,1,,,,,,,,,,,,,,,,,,2,13,12,1,0,1,8,3,12,0,70,34015,2,1
1043908,2,1,44,1,2,2,2,,,,2,,,,,,,,,,,1,,2,4,,62,,1,,2,5,0,,2,,,0,,,,,,2,8819,21,,,,1,0.00,,2,1,,1,2,,,,2,800,1700,1,,,,,,,,,,,,,,,,,,2,4,3,1,0,1,1,1,3,0,70,34015,2,1
1043908,3,2,17,1,2,3,2,,,,1,4,8730,2,5,41,,,,0.00,,2,,2,1,,71,,4,,2,2,0,,,,,2,1,2,3,4,,2,8820,22,,,,2,0.00,,2,1,,1,2,,,,2,1700,2400,1,,,,,,,,,,,,,,,,,,2,5,4,1,0,0,2,2,4,0,70,34015,2,1
1043908,4,1,16,2,2,3,2,,,,1,4,8731,2,5,41,,,,0.00,,2,,2,1,,92,,7,,2,3,0,,,,,2,1,2,3,4,,2,8821,21,,,,2,0.00,,2,1,,1,2,,,,1,1200,2000,1,,,,,,,,,,,,,,,,,,2,3,2,1,0,0,2,0,2,0,70,34015,2,1
1043908,5,1,14,,2,3,2,,,,1,4,8732,2,5,11,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,5,1,0,0,4,1,4,1,70,34015,2,1
1043935,1,2,57,1,1,1,2,,,,2,,,,,,,,,,,2,,2,4,,56,,5,,3,4,0,,,,,0,,,,,,2,9062,21,,,,2,0.00,,2,1,,1,2,,,,1,900,1500,1,,,,,,,,,,,,,,,,,,2,5,4,1,0,0,4,0,4,0,53,34021,2,1
1043935,2,1,66,1,2,2,2,,,,2,,,,,,,,,,,2,,2,1,,52,,1,,3,4,0,,,,,0,,,,,,2,9063,21,,,,2,0.00,,2,1,,1,2,,,,1,1200,1600,1,,,,,,,,,,,,,,,,,,2,5,4,1,1,2,2,0,4,0,53,34021,2,1
1043942,1,1,59,1,1,1,2,,,,2,,,,,,,,,,,1,,2,4,,54,,3,,3,5,0,,2,,,0,,,,,,2,1553,21,,,,2,0.00,,2,1,,98,2,,,,2,900,1800,1,,,,,,,,,,,,,,,,,,2,6,5,1,0,2,2,1,5,0,53,34021,2,1
1043976,1,1,68,1,1,1,2,,,,2,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0,0,1,0,1,0,53,34021,2,1
1044001,1,1,23,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,54,,2,,2,5,0,,2,,,0,,,,,,2,6872,21,,,,2,0.00,,1,1,,1,8,,,,2,900,1700,1,,,,,,,,,,,,,,,,,,2,6,5,2,0,1,1,3,5,0,51,42017,1,1
1044001,2,2,26,1,2,2,2,,,,1,5,6775,2,4,21,,,,0.00,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,6,2,1,0,4,2,6,0,51,42017,1,1
1044001,3,1,3,,2,3,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,2,1,0,2,2,4,0,51,42017,1,1
1044014,1,1,32,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,54,,2,,3,5,0,,2,,,0,,,,,,2,5263,22,21,,,2,0.00,,2,1,,1,1,1,,,1,800,1700,2,5,,5,,,,,,,,,,,,,,,2,4,3,2,0,2,1,0,3,0,48,42017,1,1
1044014,2,2,998,1,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,55,,1,,2,5,0,,2,,,0,,,,,,2,5264,21,,,,2,0.00,,1,2,,1,1,1,,,2,800,1700,1,,,,,,,,,,,,,,,,,,2,3,2,2,1,2,0,0,2,0,48,42017,1,1
1044018,1,1,27,1,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,54,,98,,2,5,0,,2,,,0,,,,,,2,7967,21,,,,1,0.00,,2,1,,3,2,,,,2,700,1600,1,,,,,,,,,,,,,,,,,,2,7,6,1,0,0,4,2,6,0,49,42017,1,1
1044018,2,2,28,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,56,,5,,1,5,0,,2,,,0,,,,,,2,7968,21,,,,2,0.00,,2,1,,2,2,,,,2,830,1700,1,,,,,,,,,,,,,,,,,,2,6,5,1,1,1,2,2,5,0,49,42017,1,1
1044072,1,1,29,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,48,,1,,3,5,0,,2,,,0,,,,,,2,5590,21,,,,1,0.00,,2,1,,2,2,,,,2,730,1730,1,,,,,,,,,,,,,,,,,,2,3,2,1,0,0,2,0,2,0,34,42091,1,1
1044093,1,1,49,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,23,,1,,3,5,0,,2,,,1,1,,,,,2,4555,21,,,,1,0.00,,2,7,CONSTRUCTION SITE,99,2,,,,2,700,1700,1,,,,,,,,,,,,,,,,,,2,5,4,1,0,2,2,0,4,0,68,34015,2,1
1044093,2,2,39,1,2,2,2,,,,2,,,,,,,,,,,2,,2,4,,61,,2,,2,2,0,,,,,0,,,,,,2,4556,21,,,,2,0.00,,2,3,,5,2,,,,2,800,1530,1,,,,,,,,,,,,,,,,,,2,5,4,1,2,2,2,0,4,0,68,34015,2,1
1044093,3,1,14,,2,3,2,,,,1,4,6306,2,5,41,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,3,0,2,0,2,0,68,34015,2,1
1044093,4,2,10,,2,3,2,,,,1,3,6307,2,5,11,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,1,4,0,4,0,4,0,68,34015,2,1
1044094,1,2,37,1,1,1,2,,,,2,,,,,,,,,,,2,,2,4,,62,,2,,3,1,0,,,,,1,4,,,,,2,5294,21,,,,2,0.00,,2,1,,5,2,,,,1,1430,2330,1,,,,,,,,,,,,,,,,,,1,1,0,2,0,0,0,0,0,0,68,34015,2,1
1044094,2,1,37,1,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,23,,1,,3,5,0,,2,,,0,,,,,,2,5295,21,,,,1,0.00,,2,1,,0,1,2,,,1,700,1700,1,,,,,,,,,,,,,,,,,,2,3,2,1,1,2,0,0,2,0,68,34015,2,1
1044094,3,2,10,,2,3,2,,,,1,3,5232,2,5,11,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,0,2,68,34015,2,1
1044094,4,2,7,,2,3,2,,,,1,3,5233,2,5,11,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,0,2,68,34015,2,1
1044094,5,1,2,,2,3,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,68,34015,2,1
1044119,1,2,34,1,1,1,2,,,,2,,,,,,,,,,,1,,2,4,,62,,3,,2,5,3,,1,2,,0,,,,,,2,1407,21,,,,2,0.00,,2,1,,2,2,,,,1,1100,1930,1,,,,,,,,,,,,,,,,,,2,5,4,1,0,1,2,1,4,0,68,34015,2,1
1044119,2,2,49,1,2,2,2,,,,2,,,,,,,,,,,1,,2,2,,92,,11,,3,5,3,,1,2,,1,2,1,,,,2,1408,21,,,,1,0.00,,2,1,,28,1,2,20.00,2,1,730,1600,1,,,,,,,,,,,,,,,,,,2,3,2,1,1,2,0,0,2,0,68,34015,2,1
1044119,3,2,11,,2,3,2,,,,1,3,1363,2,5,42,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,2,0,68,34015,2,1
1044119,4,1,7,,2,3,2,,,,1,3,1364,2,5,42,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,2,0,68,34015,2,1
1044148,1,2,41,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,54,,2,,3,5,0,,2,,,0,,,,,,2,13092,21,22,,,2,185.00,4,2,1,,5,2,,,,2,800,1800,2,5,,5,,,,,,,,,,,,,,,2,4,3,1,0,1,1,1,3,0,68,34015,2,1
1044148,2,1,42,1,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,54,,2,,3,5,0,,2,,,1,1,,,,,2,13093,21,,,,1,200.00,4,2,1,,10,2,,,,2,800,1800,1,,,,,,,,,,,,,,,,,,2,4,3,1,1,1,1,1,3,0,68,34015,2,1
1044148,3,2,5,,2,3,2,,,,1,3,13072,2,5,22,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,2,0,68,34015,2,1
1044168,1,2,46,1,1,1,2,,,,2,,,,,,,,,,,1,,2,4,,62,,2,,2,5,0,,2,,,0,,,,,,2,5939,21,,,,1,0.00,,2,1,,1,2,,,,2,830,1530,1,,,,,,,,,,,,,,,,,,2,8,7,1,0,0,4,3,7,0,68,34015,2,1
1044168,2,1,47,1,2,2,2,,,,2,,,,,,,,,,,1,,2,2,,92,,2,,3,4,0,,1,2,,0,,,,,,2,5940,21,41,,,1,0.00,,2,2,,20,2,,2.80,7,2,630,1700,1,,,,,,,,,,,,,,,,,,2,5,4,1,1,1,1,2,4,0,68,34015,2,1
1044168,3,2,5,,2,3,2,,,,1,2,5891,2,4,22,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,5,1,1,0,4,1,5,0,68,34015,2,1
1044175,1,2,41,1,1,1,2,,,,2,,,,,,,,,,,2,,2,1,,92,,13,,2,3,0,,,,,1,2,,,,,2,5816,21,,,,2,0.00,,2,1,,2,8,,,,2,1700,100,1,,,,,,,,,,,,,,,,,,2,3,2,2,0,2,0,0,2,0,68,34015,2,1
1044175,2,1,39,1,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,55,,1,,3,5,0,,2,,,1,1,2,3,4,,2,5817,21,,,,2,0.00,,2,1,,1,2,,,,2,600,1200,1,,,,,,,,,,,,,,,,,,2,3,2,2,1,2,0,0,2,0,68,34015,2,1
1044175,3,2,14,,2,3,2,,,,1,4,5789,2,5,42,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,2,1,0,4,0,2,2,68,34015,2,1
1044175,4,2,13,,2,3,2,,,,1,4,5790,2,5,42,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,2,1,0,4,0,2,2,68,34015,2,1
1044175,5,1,7,,2,3,2,,,,1,3,5791,2,5,42,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,1,0,2,0,2,0,68,34015,2,1
1044175,6,1,9,,2,3,2,,,,1,3,5792,2,5,42,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,1,0,2,0,2,0,68,34015,2,1
