CHESCO,X,Y,SLOPE,FOURLNE300,INTERST800,REGRAIL300,RAILSTN100,PARKS500M,WATER100,CITBORO_10,DIST_WATER,DIST_RAILS,DIST_REGRA,DIST_PASSR,DIST_4LNE_,DIST_INTER,DIST_PARKS,PAL_WETLND,FARM92,PASTURE92,FOREST92,URBAN01,URBAN92,POPDEN90,MEDINC90,MEDHSEVAL_,PCT_WHITE_,PCT_SFHOME,PCT_POV_90,PCT_HSB_19,PCT_COLGRD
1,1610501.400,212678.505,3.114,1,0,0,0,0,0,0,1118.05,22388.96,21914.94,6519.30,1000.02,13892.66,3041.43,0,0,0,0,0,0,157,47500,149100,98,86,3,19,3
1,1611001.408,212678.505,2.639,1,0,0,0,0,0,0,1414.24,22192.68,21633.64,6576.57,1000.02,14115.81,2549.55,0,0,1,0,0,0,856,47500,149100,98,86,3,19,3
1,1611501.416,212678.505,2.610,1,0,0,0,0,0,0,1414.24,22006.02,21360.34,6082.86,1000.02,14318.04,2061.58,0,1,0,0,1,0,239,47500,149100,98,86,3,19,3
1,1612001.423,212678.505,2.214,1,0,0,0,0,0,0,1118.05,21829.21,21095.35,5590.26,1000.02,14534.67,1581.16,0,0,0,0,0,1,1230,35902,149100,98,60,3,40,3
1,1612501.431,212678.505,1.610,1,0,0,0,0,0,0,1000.02,21662.51,20838.99,5099.10,707.12,14765.05,1118.05,0,0,0,0,1,1,122,35902,108800,98,60,3,40,3
1,1613001.439,212678.505,1.334,1,0,0,0,0,0,0,1000.02,21506.14,20591.58,4609.84,500.01,14983.55,707.12,0,0,0,0,1,0,122,35902,108800,98,60,2,40,2
1,1613501.446,212678.505,1.825,1,0,0,0,0,0,0,1000.02,21360.34,20353.45,4123.17,500.01,15207.14,500.01,0,0,0,1,0,0,952,35902,142400,98,60,2,40,2
1,1614001.454,212678.505,2.171,1,0,0,0,0,0,0,707.12,21225.31,20124.92,3640.11,500.01,15443.68,707.12,0,0,0,1,1,0,803,35902,142400,100,60,1,40,1
1,1614501.462,212678.505,1.968,1,0,0,0,0,0,0,500.01,21101.27,19906.34,3162.33,707.12,15692.60,1118.05,0,0,0,1,0,0,511,43396,142400,100,84,1,25,1
1,1615001.470,212678.505,2.100,1,0,0,0,0,0,0,500.01,20988.41,19698.02,2692.62,1118.05,15811.63,1581.16,0,0,0,0,1,1,93,43396,142400,100,84,1,25,1
1,1615501.477,212678.505,2.667,1,0,0,0,0,0,0,500.01,20808.97,19500.30,2236.10,1581.16,15532.46,2061.58,0,0,0,0,0,1,93,43396,142400,100,84,1,25,1
1,1616001.485,212678.505,2.482,1,0,0,0,0,0,0,707.12,20524.69,19313.51,1802.80,2061.58,15264.57,2549.55,0,0,0,0,0,1,72,43396,142400,100,84,1,25,1
1,1616501.493,212678.505,1.867,1,0,0,0,0,0,0,707.12,20248.77,19137.95,1414.24,2549.55,15008.56,3041.43,0,0,0,0,0,1,100,43396,142400,100,84,1,25,1
1,1617001.500,212678.505,2.046,0,0,0,0,0,0,0,500.01,19981.55,18973.96,1118.05,3041.43,14765.05,3535.59,1,0,0,0,0,0,0,43396,128700,100,84,1,25,1
1,1607501.354,212178.498,1.684,1,0,0,0,0,0,0,1118.05,23324.17,23022.08,5025.02,2915.52,12083.23,3807.95,0,0,1,0,0,0,18,47500,149100,98,86,3,19,3
1,1608001.362,212178.498,3.925,1,0,0,0,0,0,0,1000.02,23070.90,22743.48,5099.10,2500.04,12298.56,4031.19,0,0,1,0,0,0,275,47500,149100,98,86,3,19,3
1,1608501.370,212178.498,4.372,1,0,0,0,0,0,0,1000.02,22825.78,22472.55,5220.23,2121.35,12530.16,4301.23,0,0,1,0,0,0,224,47500,149100,98,86,3,19,3
1,1609001.377,212178.498,5.139,1,0,0,0,0,0,0,1000.02,22589.06,22209.57,5385.25,1802.80,12747.75,4609.84,0,0,0,1,0,0,224,47500,149100,98,86,3,19,3
1,1609501.385,212178.498,3.850,1,0,0,0,0,0,0,1000.02,22361.02,21954.84,5590.26,1581.16,12971.32,4123.17,0,0,0,0,0,0,224,47500,149100,98,86,3,19,3
1,1610001.393,212178.498,2.530,1,0,0,0,0,0,0,1118.05,22141.93,21708.63,5831.04,1500.02,13210.05,3640.11,0,0,0,1,0,0,31,47500,149100,98,86,3,19,3
1,1610501.400,212178.498,1.861,1,0,0,0,0,0,0,1414.24,21932.05,21471.24,6103.37,1500.02,13463.12,3162.33,0,0,1,0,0,0,157,47500,149100,98,86,3,19,3
1,1611001.408,212178.498,1.911,1,0,0,0,0,0,0,1802.80,21731.65,21219.42,6403.22,1500.02,13656.71,2692.62,0,0,0,1,0,0,249,47500,149100,98,86,3,19,3
1,1611501.416,212178.498,1.867,1,0,0,0,0,0,0,1802.80,21540.99,20940.71,6020.89,1500.02,13865.64,2236.10,1,0,1,0,0,0,169,47500,149100,98,86,3,19,3
1,1612001.423,212178.498,2.305,1,0,0,0,0,0,0,1581.16,21360.34,20670.34,5522.77,1414.24,14089.22,1802.80,0,0,0,0,1,0,185,47500,149100,98,86,3,19,3
1,1612501.431,212178.498,1.912,1,0,0,0,0,0,0,1500.02,21189.95,20408.65,5025.02,1118.05,14318.04,1414.24,0,0,0,0,1,1,185,47500,149100,98,86,3,19,3
1,1613001.439,212178.498,1.259,1,0,0,0,0,0,0,1500.02,21030.06,20155.96,4527.76,1000.02,14534.67,1118.05,0,0,1,0,0,0,227,35902,149100,98,60,3,40,3
1,1613501.446,212178.498,1.361,1,0,0,0,0,0,0,1414.24,20880.93,19912.61,4031.19,1000.02,14765.05,1000.02,0,0,0,0,0,0,952,35902,142400,98,60,3,40,3
1,1614001.454,212178.498,1.870,1,0,0,0,0,0,0,1118.05,20742.79,19678.97,3535.59,1000.02,15008.56,1118.05,0,0,0,1,0,0,511,43396,142400,100,84,1,25,1
1,1614501.462,212178.498,2.277,1,0,0,0,0,0,0,1000.02,20615.85,19455.38,3041.43,1118.05,15264.57,1414.24,0,0,1,0,1,0,258,43396,142400,100,84,1,25,1
1,1615001.470,212178.498,2.662,1,0,0,0,0,0,0,1000.02,20500.31,19242.18,2549.55,1414.24,15403.16,1802.80,0,0,1,0,0,0,104,43396,142400,100,84,1,25,1
1,1615501.477,212178.498,2.612,1,0,0,0,0,0,0,1000.02,20396.39,19039.73,2061.58,1802.80,15116.45,2236.10,0,0,1,0,0,0,204,43396,142400,100,84,1,25,1
1,1616001.485,212178.498,1.991,1,0,0,0,0,0,0,1118.05,20112.49,18848.37,1581.16,2236.10,14841.05,2692.62,0,0,1,0,0,0,72,43396,142400,100,84,1,25,1
1,1616501.493,212178.498,1.856,1,0,0,0,0,0,0,1000.02,19830.84,18668.44,1118.05,2692.62,14577.60,3162.33,0,0,1,0,0,0,100,43396,142400,100,84,1,25,1
1,1617001.500,212178.498,2.628,0,0,0,0,0,0,0,500.01,19557.91,18500.29,707.12,3162.33,14326.77,3640.11,1,0,1,0,0,0,0,43396,142400,100,84,1,25,1
1,1617501.508,212178.498,2.110,0,0,0,0,0,1,0,0.00,19294.08,18337.40,500.01,3640.11,14089.22,4123.17,0,0,1,0,0,0,0,39472,142400,100,84,1,30,1
1,1619501.539,212178.498,1.805,0,0,0,0,0,1,0,0.00,18337.40,17557.32,1500.02,5590.26,13285.53,6082.86,0,0,0,0,0,0,1,0,0,100,0,0,0,0
1,1620001.546,212178.498,2.150,0,0,0,0,0,1,0,0.00,18124.85,17392.79,1500.02,6082.86,13124.61,6576.57,0,0,1,0,0,0,0,39472,128700,100,84,0,30,0
1,1607001.347,211678.490,3.412,0,0,0,0,0,0,0,1802.80,23162.83,22896.86,4500.07,3605.61,11423.83,3162.33,0,0,1,0,0,0,88,40984,149100,98,81,3,28,3
1,1607501.354,211678.490,1.091,0,0,0,0,0,0,0,1581.16,22896.86,22611.19,4527.76,3201.61,11629.88,3354.15,0,0,1,0,0,0,148,47500,149100,98,86,3,19,3
1,1608001.362,211678.490,2.938,1,0,0,0,0,0,0,1500.02,22638.81,22327.46,4609.84,2828.47,11853.45,3605.61,0,0,1,0,0,0,275,47500,149100,98,86,3,19,3
1,1608501.370,211678.490,2.259,1,0,0,0,0,0,0,1500.02,22388.96,22051.42,4743.49,2500.04,12083.23,3905.19,0,0,1,0,0,0,224,47500,149100,98,86,3,19,3
1,1609001.377,211678.490,1.852,1,0,0,0,0,0,0,1500.02,22147.58,21783.36,4924.51,2236.10,12298.56,4242.71,0,0,0,1,0,0,224,47500,149100,98,86,3,19,3
1,1609501.385,211678.490,2.797,1,0,0,0,0,0,0,1500.02,21914.94,21523.57,5147.89,2061.58,12530.16,4272.07,0,0,0,1,0,0,107,47500,149100,98,86,3,19,3
1,1610001.393,211678.490,1.655,1,0,0,0,0,0,0,1581.16,21691.35,21272.38,5408.41,2000.03,12777.13,3807.95,0,0,0,1,0,0,7,47500,149100,98,86,3,19,3
1,1610501.400,211678.490,1.565,1,0,0,0,0,0,0,1802.80,21477.06,21030.06,5700.97,2000.03,13000.20,3354.15,0,0,0,1,0,0,154,47500,149100,98,86,3,19,3
1,1611001.408,211678.490,3.733,1,0,0,0,0,0,0,2121.35,21272.38,20796.96,6020.89,2000.03,13200.58,2915.52,0,0,1,0,0,0,249,47500,149100,98,86,3,19,3
1,1611501.416,211678.490,3.939,1,0,0,0,0,0,0,2236.10,21077.56,20524.69,6000.09,2000.03,13416.61,2500.04,0,0,1,0,0,0,169,47500,149100,98,86,3,19,3
1,1612001.423,211678.490,3.912,1,0,0,0,0,0,0,2061.58,20892.90,20248.77,5500.08,1802.80,13647.55,2121.35,0,0,0,0,0,0,185,47500,149100,98,86,3,19,3
